m1,m2,N_idx,N,S1,S2,loss_S1_vs_N,lp_N_given_m1,lp_S1_given_m1,lp_N_given_m2,lp_S1_given_m2,loss_S2_vs_N,lp_S2_given_m2,lp_S2_given_m1,loss_rank1,loss_rank2,worst_rank_of_two,p_N_given_m1_decile,p_N_given_m2_decile,selected_for_human_testing
roberta,bert,289,Same can be said of high blood pressure,Symptoms may be unhealthy for your blood pressure,Rarely can be true with normal blood pressure,-39.706825256347656,-51.29379653930664,-49.74511337280274,-50.23809814453125,-89.9449234008789,-11.80655288696289,-49.89324951171875,-63.10033798217773,17.0,51.0,51.0,6,6,False
roberta,bert,309,Go and do it if you want to,Click and use it if you want to,Go and do it if you want to,-9.795879364013672,-40.32293701171875,-40.30223846435547,-36.64833068847656,-46.44421005249024,0.0,-36.648345947265625,-40.32291793823242,62.0,98.0,98.0,9,9,False
roberta,bert,334,This whole show could be explained by drugs,This freak out can be alleviated by masturbation,This slide timer can be affected by drugs,-15.417205810546875,-56.74612426757813,-56.16145324707031,-56.2122802734375,-71.62948608398438,-11.935653686523438,-55.8746566772461,-68.68177795410156,51.0,50.0,51.0,4,3,False
roberta,bert,373,We have to work together here not scapegoat,We want to work together here not schizophrenic,Horses tend to ride hard if doing maneuvered,-13.108238220214846,-58.92751693725586,-58.70817947387695,-64.955322265625,-78.06356048583984,-25.828632354736328,-64.93849945068361,-84.75614166259766,55.0,10.0,55.0,2,0,False
roberta,bert,390,This is not being a responsible firearm owner,This is not being a responsible horse owner,This while not being a true lasers design,-0.5940933227539062,-48.689796447753906,-48.5429801940918,-51.45054626464844,-52.044639587402344,-19.158771514892575,-51.31575012207031,-67.84858703613281,94.0,25.0,94.0,6,5,False
roberta,bert,427,You must overcome and learn from your experience,I must react and learn from this incident,You must train and learn with your mother,-4.9518585205078125,-49.90674209594727,-49.36095428466797,-47.31343078613281,-52.26528930664063,-6.713886260986327,-47.31262969970703,-56.6205940246582,79.0,77.0,79.0,6,7,False
roberta,bert,449,Late melts tend to be bad flood years,Zealand quakes tend to follow bad flood years,Larger hails tend to resemble tornadoes involving boulders,-17.801071166992188,-68.3924560546875,-68.15634918212889,-62.61593627929688,-80.41700744628906,-27.65595245361328,-61.81689453125,-96.04840850830078,42.0,7.0,42.0,0,1,False
roberta,bert,475,Did you not hear what they were saying,Did you completely understand what they were doing,Did you not hear what they were saying,-10.04144287109375,-46.86793899536133,-46.11016845703125,-46.53253555297852,-56.57397842407226,0.0,-46.53252029418945,-46.867958068847656,60.0,98.0,98.0,7,7,False
roberta,bert,527,And we have to start from scratch again,And you have to start from scratch again,Then we need to disappear from here anyways,-0.7927894592285156,-42.71171951293945,-42.49445724487305,-47.13298416137695,-47.92577362060547,-16.28635025024414,-46.715782165527344,-58.9980697631836,92.0,37.0,92.0,9,7,False
roberta,bert,545,The truth is that we all should be,The truth is that we all should be,The point is that you always will be,0.0,-41.17633056640625,-41.17633056640625,-40.81169128417969,-40.81169128417969,-4.366241455078125,-40.51447677612305,-45.54259490966797,98.0,85.0,98.0,9,9,False
roberta,bert,622,It has a bunch of really short stories,Amazon has a ton of really neat products,It contains a number of from recorded compositions,-10.338127136230467,-47.82612228393555,-47.08291244506836,-48.52686309814453,-58.864990234375,-14.364986419677734,-48.358604431152344,-62.19109725952149,58.0,42.0,58.0,7,6,False
roberta,bert,691,A big one requires the element of surprise,Sharing this anecdote exemplifies the importance of persuasion,This rearguard formation provided the element of surprise,-65.35750961303711,-57.23069381713867,-57.05578231811523,-52.98205184936523,-118.33956146240234,-8.442874908447267,-52.37382507324219,-65.673583984375,2.0,70.0,70.0,3,4,False
roberta,bert,734,I have read a few of the comments,I have edited a few of the comments,She had read a few of his shorthand,-5.6051673889160165,-37.194236755371094,-37.06362533569336,-44.251312255859375,-49.85647964477539,-23.420429229736328,-43.85894393920898,-60.614707946777344,76.0,14.0,76.0,9,8,False
roberta,bert,749,Simply that there are carrots to staying in,Unemployment course there are vulnerabilities to staying afloat,Considered solving where for quarterfinals to calculates the,-52.86387634277344,-68.52626037597656,-67.80265808105469,-72.7990493774414,-125.66292572021484,-40.3222885131836,-72.31026458740234,-108.84854125976562,7.0,2.0,7.0,0,0,False
roberta,bert,791,I really want to try chewing fresh leaf,Suppose you want to try reconstructing spaghetti noodles,I might need to bed intruders android robotic,-50.17059326171875,-58.78026580810547,-57.14797973632813,-64.23280334472656,-114.40339660644531,-32.806793212890625,-63.65764999389648,-91.58707427978516,9.0,4.0,9.0,3,1,False
roberta,bert,808,Honestly hurt my brain trying to decipher that,Definitely imagine my brain trying to reconstruct that,Mainly only his mum trying to sleep by,-24.09731292724609,-61.57753372192383,-61.27679061889648,-61.78412628173828,-85.88143920898438,-20.06683349609375,-61.42871856689453,-81.64436340332031,35.0,24.0,35.0,2,1,False
roberta,bert,841,I promise to be the window cleaning guy,Experts how to become the next quintessential guru,I promise to be your backup drum driver,-41.79254913330078,-56.31159210205078,-56.08444213867188,-50.95923614501953,-92.75178527832031,-6.297584533691406,-50.17277908325195,-62.60917663574219,14.0,78.0,78.0,4,5,False
roberta,bert,907,Feel free to ask me any questions anytime,Feel free to ask us any questions below,Feel free to ask me some questions later,-8.067085266113281,-38.449851989746094,-37.613380432128906,-44.69577026367188,-52.762855529785156,-4.7312278747558585,-44.24723815917969,-43.18107986450195,68.0,84.0,84.0,9,8,False
roberta,bert,946,Which is also the last checkpoint you get,Zealand is perhaps the easiest vaccination to administer,Which is about the fifteen drills I get,-30.38009262084961,-58.101806640625,-57.68881607055664,-54.47383499145508,-84.85392761230469,-10.128341674804688,-54.12614440917969,-68.23014831542969,27.0,60.0,60.0,3,4,False
roberta,bert,985,A couple of follow up questions for you,A couple of follow up questions for you,A lot of screwed up truths for him,0.0,-45.87907791137695,-45.87907791137695,-48.66669464111328,-48.66669464111328,-10.76456069946289,-48.11734008789063,-56.643638610839844,98.0,57.0,98.0,8,6,False
roberta,bert,1028,Do not post something you made or own,Do not publish images you made or own,Do not leave within you pity in regrets,-1.5162200927734375,-52.8264274597168,-52.0290641784668,-60.14684295654297,-61.663063049316406,-19.09561538696289,-59.84999084472656,-71.92204284667969,88.0,26.0,88.0,5,2,False
roberta,bert,1106,Missing an eye and burnt on one side,Victims right jaw was amputated on one side,Broken an ear and busted up one leg,-29.573421478271484,-61.47228240966797,-61.10685348510742,-53.06062698364258,-82.63404846191406,-8.870834350585938,-52.5157699584961,-70.34311676025389,29.0,68.0,68.0,2,4,False
roberta,bert,1125,Be sure to raise it up onto display,Make sure you configure it properly before reconstruct,Getting ready to prep them up onto wheels,-31.571311950683594,-56.37263488769531,-55.443260192871094,-57.49213409423828,-89.06344604492188,-10.9268798828125,-56.82798767089844,-67.29951477050781,24.0,55.0,55.0,4,3,False
roberta,bert,1143,None of their opinions should reflect on Joe,Some of the theories posted erroneously mention vaccinations,One of their futures should reflect on Joe,-32.854263305664055,-65.77830505371094,-65.42337036132811,-58.95915222167969,-91.81341552734376,-8.101768493652344,-58.446632385253906,-73.88007354736328,22.0,72.0,72.0,1,2,False
roberta,bert,1184,Saints fans deserve all of it and more,Thrones fans have all of it and more,Parties alike support some of those and more,-7.861213684082031,-54.41966247558594,-54.30997085571289,-59.93855285644531,-67.79976654052734,-15.225830078125,-59.29387283325195,-69.64549255371094,70.0,41.0,70.0,5,2,False
roberta,bert,1203,I actually watched my cousin beat the game,I recently helped a coworker circumvent this issue,I had helped my uncles behead those bastards,-27.30517578125,-55.95527648925781,-55.281410217285156,-55.33757019042969,-82.64274597167969,-22.39073181152344,-53.88191223144531,-78.34600830078125,32.0,15.0,32.0,4,3,True
roberta,bert,1242,Sorry it had to go that route man,Investigators top tips to take your antidepressants responsibly,Somehow it had let go that morning anyways,-83.06387329101562,-63.62760543823242,-62.88966751098633,-54.74227905273438,-137.80615234375,-8.072154998779299,-54.47991180419922,-71.69976043701172,1.0,73.0,73.0,1,4,False
roberta,bert,1271,Lord Of The Rings Will Always Be Amazing,Lord Of The Rings Will Always Be Amazing,Lord of The Rings Will Always Be Frank,0.0,-50.91110610961914,-50.91110610961914,-58.79391098022461,-58.79391098022461,-10.237125396728516,-58.73290252685547,-61.148231506347656,98.0,59.0,98.0,6,2,False
roberta,bert,1284,My head almost hit the seat in front,The laptop nearly reaches the desk in front,My back nearly hit the wall in protest,-11.940052032470705,-54.12342071533203,-54.09343719482422,-47.07957458496094,-59.01962661743164,-8.724723815917969,-46.68989562988281,-62.84814453125,56.0,69.0,69.0,5,7,True
roberta,bert,1287,There is an Arena cheese strategy with her,Below is an incomprehensible combo map against Prometheus,There was no divorces intruders disturbs by war,-39.04309844970703,-71.90682983398438,-71.17915344238281,-70.6837387084961,-109.72683715820312,-31.60462951660156,-70.23995971679689,-103.51145935058594,18.0,6.0,18.0,0,0,False
roberta,bert,1305,We sold the meaning of Christmas long ago,Twitter misunderstood the meaning of punctuation long ago,We weave the truths inside ourselves longs ago,-43.20994567871094,-56.48341751098633,-56.47530746459961,-57.48605346679688,-100.6959991455078,-17.12588882446289,-57.29572677612305,-73.60930633544922,13.0,32.0,32.0,4,3,False
roberta,bert,1379,It was covered up making it non obvious,That was covered up but it blatantly obvious,Everything was squared out and it smelled greatness,-9.727161407470703,-56.46926879882813,-56.110389709472656,-56.29133987426758,-66.01850128173828,-18.843650817871094,-56.27988815307617,-75.31291961669922,63.0,29.0,63.0,4,3,False
roberta,bert,1409,The classical guitar has too deep a sound,Why your computer makes too irritating a noise,The classical guitar was too rich a sound,-20.820453643798828,-57.129478454589844,-56.37677764892578,-49.47689437866211,-70.29734802246094,-1.9656944274902344,-49.15643692016602,-59.09517288208008,37.0,93.0,93.0,4,6,False
roberta,bert,1411,You have to look at your motives here,Articles read our look at security vulnerabilities here,You have to look after your greatness here,-47.0270881652832,-51.94801712036133,-51.48237609863281,-47.21700668334961,-94.2440948486328,-7.081489562988281,-47.10333251953125,-59.02950668334961,12.0,76.0,76.0,5,7,False
roberta,bert,1428,I felt the spell slip beyond my control,We consider all circumstances uncontrollable beyond your control,I felt the spell slip past my control,-30.968788146972656,-58.71639633178711,-58.52582550048828,-48.36603546142578,-79.33482360839844,-1.0106086730957031,-47.89390563964844,-59.72700500488281,25.0,95.0,95.0,3,7,False
roberta,bert,1446,Which is why people have made this comment,Below is why they have made this comment,He was everything Mary Ann called a threat,-5.26434326171875,-46.53367233276367,-46.15247344970703,-51.934791564941406,-57.199134826660156,-21.139789581298828,-51.865013122558594,-67.6734619140625,78.0,20.0,78.0,7,5,False
roberta,bert,1478,Probably accidentally pouring fresh noodles down the sink,Employees man scooping spaghetti noodles from his microwave,Somehow it kept Franklin stuffing in empty space,-61.6313705444336,-67.30778503417969,-66.96888732910156,-66.35358428955078,-127.98495483398438,-16.64373779296875,-65.89009094238281,-83.95152282714844,3.0,34.0,34.0,0,0,False
roberta,bert,1487,Start talking to other people in your class,Consider talking with other people in your industry,Keep talking to the boys in your class,-8.552692413330076,-47.50581359863281,-46.5401496887207,-43.70273971557617,-52.25543212890625,-2.0162887573242188,-43.503509521484375,-49.52210235595703,66.0,92.0,92.0,7,8,False
roberta,bert,1529,Our cats were the same with my dad,Articles all feels the same for some though,Their souls were the constants on my hand,-16.742286682128903,-57.92120742797852,-57.66421890258789,-51.62078857421875,-68.36307525634766,-13.883319854736328,-51.00048446655274,-71.80452728271484,45.0,45.0,45.0,3,5,False
roberta,bert,1545,Nobody cares that he went to Illinois either,Arabia clarified that he came to Kenya willingly,Nobody cares that she comes to bio today,-10.649520874023438,-60.86835861206055,-60.50202178955078,-56.536476135253906,-67.18599700927734,-8.96908950805664,-56.43872451782226,-69.83744812011719,57.0,66.0,66.0,2,3,False
roberta,bert,1636,The solution is to prevent them from lying,The answer is to stop kids from dying,The intent was to prevent them from nesting,-6.21636962890625,-48.09760665893555,-48.08634948730469,-44.08935546875,-50.30572509765625,-5.2358245849609375,-43.81542205810547,-53.33343124389648,74.0,83.0,83.0,7,8,False
roberta,bert,1660,It is a heavy pay to win game,This was the slight favorite to win Sunday,It was a delicious twister in her insides,-7.9437217712402335,-55.7203598022461,-55.69259262084961,-49.437767028808594,-57.38148880004883,-16.54638671875,-48.6595458984375,-72.2667465209961,69.0,35.0,69.0,4,6,False
roberta,bert,1744,Going for that classic server look I see,Vengeance is a pretty quintessential movie you reckon,Going for your typical juveniles style I see,-47.78605651855469,-69.94464111328125,-69.78837585449219,-63.47826385498047,-111.26432037353516,-9.229881286621094,-62.077186584472656,-79.17452239990234,11.0,62.0,62.0,0,1,False
roberta,bert,1797,Make sure to get a running start though,Make sure you add your script start method,We kids will do a good turnaround together,-16.252918243408207,-50.3563117980957,-50.27326965332031,-51.90131759643555,-68.15423583984375,-17.079891204833984,-51.23273468017578,-67.43620300292969,48.0,33.0,48.0,6,5,True
roberta,bert,1869,Take a moment to reflect on that statement,Click a form to complain about this post,Just a moment to dwell on that fact,-16.697864532470707,-42.85689926147461,-42.54287338256836,-46.29842758178711,-62.99629211425781,-6.0078887939453125,-45.97234344482422,-48.86478805541992,46.0,80.0,80.0,9,7,False
roberta,bert,1900,This is clearly just Labour on the run,This is also just schizophrenic on the cheap,Magic was always both averted and its reverses,-20.01567840576172,-59.04315185546875,-58.54235458374024,-62.00267028808594,-82.01834869384766,-25.82856750488281,-61.28140258789063,-84.87171936035156,39.0,11.0,39.0,2,1,False
roberta,bert,1917,We will have to wait and see thought,We will have to wait and see uninterrupted,We will have to move and Anna knows,-9.915359497070312,-47.71084213256836,-47.02682113647461,-52.53765869140625,-62.45301818847656,-14.097362518310547,-52.052528381347656,-61.8082046508789,61.0,44.0,61.0,7,4,False
roberta,bert,1948,My boss actually cried when she told me,News I nearly cried when she told me,His girlfriends gradually left as he talked on,-5.335304260253906,-51.5887451171875,-51.30193328857422,-52.31365203857422,-57.64895629882813,-19.02387237548828,-51.32770538330078,-70.61261749267578,77.0,27.0,77.0,5,4,False
roberta,bert,1983,You have to be strong when it matters,You have to be right when it counts,I manage to jerk back when it comes,-0.9663429260253906,-44.068016052246094,-43.68064498901367,-43.27177810668945,-44.23812103271485,-15.239063262939453,-43.26982879638672,-59.30707931518555,90.0,40.0,90.0,8,8,False
roberta,bert,1985,Everything you do is controlled by these drivers,Articles you read here sponsored by affiliated advertisers,Everything they do is influenced by these herbs,-28.69560241699219,-56.63226318359375,-55.7303352355957,-51.18291473388672,-79.8785171508789,-5.9688873291015625,-50.92817687988281,-62.60116195678711,31.0,81.0,81.0,4,5,False
roberta,bert,1991,I had a feeling that was the reason,I have a feeling this was the problem,I had a feeling that was the reason,-7.7459716796875,-45.28347396850586,-44.49556350708008,-39.40764617919922,-47.15361785888672,0.0,-39.40764617919922,-45.28347396850586,71.0,98.0,98.0,8,9,False
roberta,bert,2013,I think Booth will be releasing through Friday,More Anthony Weiner will be unveiling conspiracies Wednesday,I know fates will be workings afar minute,-40.67190551757813,-65.92529296875,-63.58446884155274,-67.51345825195311,-108.18536376953124,-26.413604736328125,-67.44158172607422,-92.33889770507812,16.0,9.0,16.0,0,0,False
roberta,bert,2116,Literally just did the set and got him,Literally just did my groceries and got mail,Knows someone bought another condoms and gets married,-19.425498962402344,-63.12047576904297,-62.66693496704102,-63.7637939453125,-83.18929290771484,-18.983436584472656,-63.30172729492188,-82.10391235351562,40.0,28.0,40.0,1,1,False
roberta,bert,2162,Open war thunder directly through the steam library,Investigators are disproportionate aiming at the shovel shovels,Tribes create dances plays using the tigers melodic,-55.3626708984375,-77.417236328125,-77.22075653076172,-73.46488952636719,-128.82756042480472,-35.4525146484375,-73.41970825195312,-112.86973571777344,6.0,3.0,6.0,0,0,True
roberta,bert,2187,Self control is how we keep society civil,Investigators this is how I keep mommy sane,Climate Canada says that you get energy drafts,-29.626205444335934,-60.03304672241211,-59.80990600585938,-60.37828063964844,-90.00448608398438,-21.404071807861328,-60.31114959716797,-81.43711853027344,28.0,18.0,28.0,2,2,False
roberta,bert,2196,But it could also be the searches tool,And this could well be the misunderstood epidemic,But it will never become your apprenticed tool,-20.373863220214844,-55.78160858154297,-55.76824188232422,-54.60985565185547,-74.98371887207031,-15.471778869628904,-54.58303833007813,-71.25338745117188,38.0,39.0,39.0,4,4,False
roberta,bert,2233,This was bought on clearance to be fair,This was bought on clearance to be fair,These he hurled daily downwards with a machine,0.0,-58.58102416992188,-58.58102416992188,-64.27532196044922,-64.27532196044922,-27.23225402832031,-64.18952178955078,-85.81327819824219,98.0,8.0,98.0,3,1,False
roberta,bert,2234,I pull the spoon out of my mouth,I pull the cigar out of my mouth,I pulled the paper out of my backpack,-1.4365882873535156,-45.27488327026367,-45.24641036987305,-40.43220520019531,-41.86879348754883,-2.8019371032714844,-39.947174072265625,-48.07679748535156,89.0,89.0,89.0,8,9,False
roberta,bert,2261,That was not the case with this person,That was not the case with this story,That was not the case with this person,-0.7409706115722656,-41.54523468017578,-40.92285919189453,-42.54889297485352,-43.28986358642578,0.0,-42.54888916015625,-41.545257568359375,93.0,98.0,98.0,9,9,False
roberta,bert,2374,This is how we got the second goal,Here is how we scored the second goal,That is if they accomplish the overall goal,-3.640190124511719,-43.3819580078125,-42.80749130249024,-49.3852767944336,-53.02546691894531,-10.994945526123047,-49.27613067626953,-54.37692260742188,83.0,54.0,83.0,8,6,False
roberta,bert,2418,To give us a place to be safe,You give children a place to feel safe,They give us a place to be happy,-6.502490997314452,-43.17898559570313,-42.39868927001953,-42.99283218383789,-49.495323181152344,-1.7676773071289062,-42.46376037597656,-44.94666290283203,73.0,94.0,94.0,8,9,False
roberta,bert,2524,There is even a level on vehicle control,Report read about the day long train malfunction,There is additionally a level with vehicle control,-24.72913360595703,-59.9983024597168,-59.97095489501953,-54.62330627441406,-79.3524398803711,-2.686626434326172,-54.34764099121094,-62.68490600585938,34.0,90.0,90.0,2,4,False
roberta,bert,2593,Go out to dinner instead of ordering in,Go out to eat instead of ordering delivery,Going out to restaurants instead of delivering pizzas,-6.165107727050781,-51.30762481689453,-50.49121856689453,-50.99959945678711,-57.16470718383789,-8.902091979980469,-50.53057861328125,-60.209716796875,75.0,67.0,75.0,5,5,False
roberta,bert,2628,But then the world building is just messy,But of this empire building is still unresolved,Not even the camp group was especially troubled,-15.872299194335938,-57.97564697265625,-57.95782852172852,-53.98916625976562,-69.86146545410156,-7.979156494140625,-53.63617706298828,-65.95480346679689,49.0,74.0,74.0,3,4,False
roberta,bert,2686,You will be spared in the coming weeks,This will be reconstructing in the coming weeks,You will be brides for our celestial princes,-16.915084838867188,-47.73439407348633,-47.00220489501953,-49.807884216308594,-66.72296905517578,-21.174449920654297,-49.43553924560547,-68.90884399414061,44.0,19.0,44.0,7,6,True
roberta,bert,2822,I spend a lot of time in Oakland,I spent a bit of time in Pyongyang,I spend a lot of time in arcane,-13.91985321044922,-43.477935791015625,-43.23290252685547,-44.11804962158203,-58.03790283203125,-5.690330505371094,-43.46813201904297,-49.16826629638672,54.0,82.0,82.0,8,8,False
roberta,bert,2825,Probably depends on how many things you get,Price depends on how many fries you get,Probably depends on how many things you get,-4.3149757385253915,-50.10612869262695,-49.70012664794922,-48.69110870361328,-53.00608444213867,0.0,-48.69110870361328,-50.10612869262695,81.0,98.0,98.0,6,6,False
roberta,bert,2841,The article was written over a year ago,This post was published exactly one week ago,The song was written over a year prior,-8.529571533203125,-39.71889114379883,-39.61121368408203,-41.97748565673828,-50.507057189941406,-9.025882720947266,-41.77836990356445,-48.7447738647461,67.0,64.0,67.0,9,9,True
roberta,bert,2845,Leading by example works but only so far,Pyongyang last solution worked but only so far,Becoming multiple in intents was simply too cruel,-18.854270935058594,-63.88798522949219,-63.69673538208008,-60.612876892089844,-79.46714782714844,-25.758804321289066,-59.550682067871094,-89.64678955078125,41.0,12.0,41.0,1,2,False
roberta,bert,2847,Whatever your tennis heart wants to roll with,Sacrifice your grieving spouse begins to sympathize more,Whatever my damning pride had to complains of,-50.19792175292969,-68.76692199707031,-68.45198822021484,-64.52938842773439,-114.72731018066406,-20.96607208251953,-64.19512939453125,-89.73299407958984,8.0,21.0,21.0,0,1,False
roberta,bert,2849,I teach classes but now everyone wants video,Twitter is misunderstood but now everybody wants puppies,He loved classes but now always had secretaries,-37.25021362304688,-65.79416656494139,-65.77794647216797,-61.33920288085938,-98.58941650390624,-10.56867218017578,-61.21031188964844,-76.36283874511719,21.0,58.0,58.0,1,2,False
roberta,bert,2923,The convenience of shopping online had heavy costs,The ease of shopping online carries unintended repercussions,The odds of detection here meant endless wastes,-26.56371307373047,-59.0937385559082,-58.66868591308594,-61.169700622558594,-87.73341369628906,-24.593902587890625,-60.12771606445313,-83.6876220703125,33.0,13.0,33.0,2,2,False
roberta,bert,3037,Nothing like that happened to my both car,Investigators often this happens to people feel misunderstood,Nothing like that happens with my kin yourselves,-57.35305786132813,-61.640525817871094,-61.631431579589844,-55.08000183105469,-112.4330596923828,-11.637470245361328,-54.97982788085938,-73.27799224853516,4.0,53.0,53.0,2,3,False
roberta,bert,3105,That visit was an eye opener for me,That documentary was an eye opener for me,His kiss is an eye opener for me,-2.5728721618652344,-49.35579681396485,-48.63788604736328,-47.19585418701172,-49.76872634887695,-4.1632080078125,-46.639381408691406,-53.51897430419922,86.0,86.0,86.0,6,7,False
roberta,bert,3107,The old style game seems fun for nostalgia,The old school game design quintessential for nostalgia,That blasted vampire temper took you over muscled,-30.861343383789066,-64.25096130371094,-63.77493286132813,-66.82086181640625,-97.68220520019531,-32.3140869140625,-66.48138427734375,-96.5650634765625,26.0,5.0,26.0,1,0,False
roberta,bert,3110,They usually announce hardware at a separate event,Privacy researchers discuss vulnerabilities at a press briefing,They generally invoke charms in the originals village,-48.27639770507813,-62.19396209716797,-61.942726135253906,-60.978111267089844,-109.25450897216795,-20.073631286621094,-60.90864562988281,-82.26759338378906,10.0,23.0,23.0,2,2,True
roberta,bert,3156,It is great to see something like this,It is great to see things like this,It seemed wrong to face her like this,-0.8704872131347656,-36.93450546264648,-36.88105773925781,-42.6455307006836,-43.51601791381836,-17.155540466308597,-41.84920883178711,-54.09004592895508,91.0,31.0,91.0,9,9,False
roberta,bert,3158,Makes feeding and cleaning the colony quite easy,Creating up and reconstructing the vulnerabilities went well,Makes breeding and migrations in flocks relatively convenient,-56.82463073730469,-68.56076812744139,-67.82405090332031,-62.000244140625,-118.82487487792969,-14.155197143554688,-61.22856140136719,-82.7159652709961,5.0,43.0,43.0,0,1,False
roberta,bert,3194,I am looking to purchase a loft downtown,I am looking to lease a print studio,Seth was going to purchase a loft there,-4.056861877441406,-50.95247268676758,-50.37699508666992,-52.16634368896485,-56.22320556640625,-11.709548950195312,-51.85539245605469,-62.66202163696289,82.0,52.0,82.0,6,5,False
roberta,bert,3198,They had come with questions of their own,They had responded with protests of their own,They had come with gifts of their own,-4.8067283630371085,-50.54120254516602,-50.10588836669922,-44.872066497802734,-49.678794860839844,-3.600658416748047,-44.76080322265625,-54.141845703125,80.0,87.0,87.0,6,8,False
roberta,bert,3208,Lion just makes the matches boring to watch,Fahrenheit just makes the apocalypse funnier to imagine,Bluff dusting made the nickels valuables to people,-40.91081237792969,-65.5657958984375,-65.30581665039061,-64.76568603515625,-105.67649841308594,-43.951751708984375,-63.97967147827149,-109.51754760742188,15.0,1.0,15.0,1,0,False
roberta,bert,3231,Something that can be peaceful while doing it,Participants ensure we stay vigilant by reading this,Anything that might get stained was simply fine,-38.532447814941406,-57.19357299804688,-56.4150619506836,-51.48532104492188,-90.01776885986328,-13.442787170410154,-50.88491439819336,-70.6363525390625,19.0,46.0,46.0,3,5,False
roberta,bert,3282,They brought her back and everything was fine,We took him back and everything was fine,She called me first and everything is fine,-3.325469970703125,-47.01918029785156,-46.7364616394043,-39.110260009765625,-42.43572998046875,-6.0301780700683585,-38.86048126220703,-53.04932022094727,84.0,79.0,84.0,7,9,False
roberta,bert,3316,The fact that they exist proves my point,The fact that they exist proves the point,The fact that humans exist supports its existence,-0.5051536560058594,-48.31721878051758,-47.62704086303711,-48.401100158691406,-48.90625381469727,-7.298728942871094,-47.94280242919922,-55.6159553527832,95.0,75.0,95.0,6,6,False
roberta,bert,3361,They said they had fired the individual responsible,Police believe they have apprehended the culprits safely,They said they had fired many individual mortars,-29.075969696044922,-53.37339401245117,-53.0817756652832,-54.74493789672852,-83.82090759277344,-18.690845489501953,-53.696083068847656,-72.06423950195312,30.0,30.0,30.0,5,3,False
roberta,bert,3391,But everyone still treats you as the child,And society still treats men as the boss,Yet none has reached him or his greatness,-8.899703979492188,-53.31139373779297,-52.9731559753418,-51.47758865356445,-60.37729263305664,-13.162220001220705,-51.052978515625,-66.47361755371094,65.0,47.0,65.0,5,5,False
