sentence_pair,subjects_majority_vote,sentence1,sentence2,probability_sentence1,probability_sentence2
Cases incomes optic was doubly fond to madly_Our current neutralize were so quick to amputate,2.0,Cases incomes optic was doubly fond to madly,Our current neutralize were so quick to amputate,-90.89718082174659,-62.49066495150328
Character just refuses to drop from the vent_Generally inspired means to merge through several storeys,1.0,Character just refuses to drop from the vent,Generally inspired means to merge through several storeys,-42.846642553806305,-63.08459663391113
Classic I have more time to polish myself_Wish I have more time to play now,2.0,Classic I have more time to polish myself,Wish I have more time to play now,-34.34897291660309,-25.241029977798462
Click for the help sending this to you_Sorry for the bastards going back to us,2.0,Click for the help sending this to you,Sorry for the bastards going back to us,-37.55179810523987,-36.39109007269144
Commenting to find out later what this is_Memphis always seems to play the Jazz tough,1.0,Commenting to find out later what this is,Memphis always seems to play the Jazz tough,-41.256134271621704,-37.660074949264526
Depends on the hotel on the French side_on French Depends the on side hotel the,1.0,Depends on the hotel on the French side,on French Depends the on side hotel the,-33.51449652016163,-75.62959289550781
Describing the republicans to ever defeat at Newcastle_Have the decency to acknowledge it at least,2.0,Describing the republicans to ever defeat at Newcastle,Have the decency to acknowledge it at least,-61.850780606269836,-31.389895141124725
Did compatriot antidepressants can deserve you all work_Maybe Royal Mail can let you know it,2.0,Did compatriot antidepressants can deserve you all work,Maybe Royal Mail can let you know it,-80.01507139205933,-37.000781774520874
Did you just collect data points on us_I User To Be In The Living Room,1.0,Did you just collect data points on us,I User To Be In The Living Room,-40.45960879325867,-50.64117117226124
Do as any or else feels wrong direction_The button is superior to being either gender,2.0,Do as any or else feels wrong direction,The button is superior to being either gender,-62.88292050361633,-51.443182438611984
Each program has a required minimum entry score_The cognitive dissonance is astonishing with these people,1.0,Each program has a required minimum entry score,The cognitive dissonance is astonishing with these people,-38.22606718540192,-41.32941643940285
Edit to one espresso shot per medium coffee_I use my French press for ice coffee,2.0,Edit to one espresso shot per medium coffee,I use my French press for ice coffee,-52.532925486564636,-48.24289906024933
Enjoy Looking At All Your Videos And Pictures_Not sure why ppl are down voting you,2.0,Enjoy Looking At All Your Videos And Pictures,Not sure why ppl are down voting you,-42.30693173408508,-44.72984600067139
Equality of opportunity rarely equals equity in outcomes_Probably changes were you are on the continent,1.0,Equality of opportunity rarely equals equity in outcomes,Probably changes were you are on the continent,-34.56167232990265,-45.939056515693665
Every thing is made alive by infinite Ness_The resilience is made stronger by early adversity,2.0,Every thing is made alive by infinite Ness,The resilience is made stronger by early adversity,-50.30726397037506,-43.51959949731827
Everyone deserves a look at blueprint blueprints too_I took a look at tour comment history,2.0,Everyone deserves a look at blueprint blueprints too,I took a look at tour comment history,-48.81318384408951,-42.53427031636238
Excuse me instantly recognizable faces a massive oil_Save me from drowning in a big wave,2.0,Excuse me instantly recognizable faces a massive oil,Save me from drowning in a big wave,-65.01494179666042,-30.56525957584381
Feel like he deserves more than the the_Seems like she knows more than the computer,2.0,Feel like he deserves more than the the,Seems like she knows more than the computer,-39.77857196331024,-28.952463269233704
Finally getting those electrician cabs was hard work_Those applying these bawling face up again enough,1.0,Finally getting those electrician cabs was hard work,Those applying these bawling face up again enough,-49.56380766630173,-72.77320408821106
First name that popped to mind was Kyle_I believe faculty is still working from home,2.0,First name that popped to mind was Kyle,I believe faculty is still working from home,-36.153597593307495,-43.851269006729126
Freedom of hope and good care be strengthens_With wonderful art and Bakshi wrote from Atlanta,1.0,Freedom of hope and good care be strengthens,With wonderful art and Bakshi wrote from Atlanta,-52.45805621147156,-63.5786612033844
Gets us in the playoffs next off year_Gets us to the playoffs every following year,2.0,Gets us in the playoffs next off year,Gets us to the playoffs every following year,-40.00761991739273,-35.08412283658981
Glad the community has warmed up to it_community Glad to the it warmed has up,1.0,Glad the community has warmed up to it,community Glad to the it warmed has up,-25.73568958044052,-67.52767133712769
Good a Gaga shopping break into one woman_Maybe this September will break from that pattern,2.0,Good a Gaga shopping break into one woman,Maybe this September will break from that pattern,-67.06494283676147,-35.84926575422287
Guys see them as less of a threat_Trump see you as more of a threat,1.0,Guys see them as less of a threat,Trump see you as more of a threat,-24.444879353046417,-32.45643877983093
Had her invite me over after the club_Please post in the Share Your Stuff thread,2.0,Had her invite me over after the club,Please post in the Share Your Stuff thread,-40.3665646314621,-37.22547024488449
Have fun making all sorts of unsubstantiated assumptions_Little inventions and innovations that can help everyone,1.0,Have fun making all sorts of unsubstantiated assumptions,Little inventions and innovations that can help everyone,-39.24092477170052,-36.298784017562866
Having crit done solves most of your problems_Having used amp solves none of these problems,2.0,Having crit done solves most of your problems,Having used amp solves none of these problems,-35.72835573554039,-41.5727276802063
He then you lose weight gain statehood batted_We study such phenomena at a scientific level,2.0,He then you lose weight gain statehood batted,We study such phenomena at a scientific level,-75.99856090545654,-32.753160268068314
He was unable to quell this atrocious entitlement_I was able to grab the photo guys,2.0,He was unable to quell this atrocious entitlement,I was able to grab the photo guys,-42.70581264048815,-35.10476761870086
Heart Burns was the final record to add_the was record Burns Heart final add to,1.0,Heart Burns was the final record to add,the was record Burns Heart final add to,-46.98082971572876,-79.70300006866455
Her social media profile was already rather impressive_His social media account is actually pretty good,1.0,Her social media profile was already rather impressive,His social media account is actually pretty good,-34.789709866046906,-28.11292564868927
Her social media profile was already rather impressive_On social media strategist at a pretty weird,1.0,Her social media profile was already rather impressive,On social media strategist at a pretty weird,-34.789709866046906,-56.18748056143522
Here is my random thought for the week_This is my favorite comment of the day,2.0,Here is my random thought for the week,This is my favorite comment of the day,-30.130577445030212,-22.727916419506073
Hopefully the Crew will not be saved today_Not discern if it was nature or nurture,1.0,Hopefully the Crew will not be saved today,Not discern if it was nature or nurture,-37.24173414707184,-41.826070070266724
How to ruin furniture like a disrespectful child_Kercher were salvaged accountable than most illustrious deepening,1.0,How to ruin furniture like a disrespectful child,Kercher were salvaged accountable than most illustrious deepening,-50.8400741815567,-90.3355211019516
Human that our brains are diminished by all_Sad that our lives are controlled by others,2.0,Human that our brains are diminished by all,Sad that our lives are controlled by others,-49.23245334625244,-30.42855805158615
I Swat the Baton to lieu gon an_I emailed the skirmishes ended scoreless outings alcoholism,2.0,I Swat the Baton to lieu gon an,I emailed the skirmishes ended scoreless outings alcoholism,-79.31168413162231,-94.78736281394958
I actually thought I was reading that wrong_Save that skin and crisp it up good,1.0,I actually thought I was reading that wrong,Save that skin and crisp it up good,-28.631677567958832,-38.11805838346481
I agree that unsolicited advice is generally unhelpful_The Education is the problem not The Art,1.0,I agree that unsolicited advice is generally unhelpful,The Education is the problem not The Art,-37.79421214573085,-51.20980668067932
I always cover for him and make excuses_We live paycheck for him and made eye,1.0,I always cover for him and make excuses,We live paycheck for him and made eye,-38.60125160217285,-63.297141313552856
I believe that people marry because of love_I understand that people fall out of love,2.0,I believe that people marry because of love,I understand that people fall out of love,-32.54645025730133,-27.277969628572464
I bet that driver honestly has no idea_Just get that and call it a day,2.0,I bet that driver honestly has no idea,Just get that and call it a day,-39.78249150514603,-25.106434613466263
I can almost tell who these pixels are_Test drove it once and I was sold,2.0,I can almost tell who these pixels are,Test drove it once and I was sold,-36.717645674943924,-34.624709486961365
I consider myself very fortunate in this regard_I think myself very wise in that regard,1.0,I consider myself very fortunate in this regard,I think myself very wise in that regard,-23.45212459564209,-31.54916560649872
I decided to adults between the only true_I used to fly all the time too,2.0,I decided to adults between the only true,I used to fly all the time too,-61.91174891591072,-26.529193937778473
I feel me making shapes on the Shore_I felt it in waves with the machine,2.0,I feel me making shapes on the Shore,I felt it in waves with the machine,-51.534661173820496,-39.57219839096069
I got it for my brother for Christmas_got brother I Christmas for my it for,1.0,I got it for my brother for Christmas,got brother I Christmas for my it for,-25.47842228412628,-61.85850238800049
I guess the buy rating news travel slow_Sorry I have a prejudice towards you now,2.0,I guess the buy rating news travel slow,Sorry I have a prejudice towards you now,-60.838690996170044,-33.457367956638336
I had to give my husband a job_I need to give my son a hug,2.0,I had to give my husband a job,I need to give my son a hug,-27.30562174320221,-25.517454624176025
I have capsules I leave at room temp_That Oakland jail was offered as homeless housing,2.0,I have capsules I leave at room temp,That Oakland jail was offered as homeless housing,-45.71988320350647,-51.910314321517944
I have no specifics for working on it_I have various techniques for dealing with it,2.0,I have no specifics for working on it,I have various techniques for dealing with it,-33.41370916366577,-28.639013702981174
I immediately thought it was Land as well_I initially thought it looked unprofessional as well,2.0,I immediately thought it was Land as well,I initially thought it looked unprofessional as well,-38.129753828048706,-35.0340735912323
I just based my comment on empirical data_Suns played really well and hit their shots,1.0,I just based my comment on empirical data,Suns played really well and hit their shots,-37.35499447584152,-32.22308769822121
I just get my friend to jump around_I seriously injure a friend to ppl around,1.0,I just get my friend to jump around,I seriously injure a friend to ppl around,-39.191545724868774,-57.161858797073364
I know his uncle was selling real weight_Just stopping by to say Happy Cake Day,2.0,I know his uncle was selling real weight,Just stopping by to say Happy Cake Day,-47.89080786705017,-44.063164472579956
I like how she has two hair lines_I love that it combines both hair styles,2.0,I like how she has two hair lines,I love that it combines both hair styles,-34.077964067459106,-35.27820312976837
I linked to the article that explains that_to that article that the linked I explains,1.0,I linked to the article that explains that,to that article that the linked I explains,-32.35481023788452,-52.90275025367737
I no strength depended neutralize not coming back_I wish combat flight Sims would come back,2.0,I no strength depended neutralize not coming back,I wish combat flight Sims would come back,-72.31408452987671,-53.6159873008728
I see no potential for increased toxicity whatsoever_Reign Over Me is a very serious film,2.0,I see no potential for increased toxicity whatsoever,Reign Over Me is a very serious film,-38.575991094112396,-33.86408233642578
I stopped getting kidney infections all the time_stopped kidney I getting the all time infections,1.0,I stopped getting kidney infections all the time,stopped kidney I getting the all time infections,-37.251066498458385,-59.08880090713501
I think of Season Pass as endgame content_Would happen after I made my comment haha,2.0,I think of Season Pass as endgame content,Would happen after I made my comment haha,-45.03241777420044,-39.64540797472
I thought it was been her smartest lot_I thought it was just the cable issue,2.0,I thought it was been her smartest lot,I thought it was just the cable issue,-48.46349859237671,-30.14856195449829
I went ice skating and forgot my skates_This is the only way to dissuade cheaters,1.0,I went ice skating and forgot my skates,This is the only way to dissuade cheaters,-34.89498445112258,-30.577135529834777
I will be studying for the new one_She would be touted of the new spectrum,1.0,I will be studying for the new one,She would be touted of the new spectrum,-31.97965705394745,-46.21657729148865
I would recommend watching some of his streams_Non humans might have different kinds of souls,1.0,I would recommend watching some of his streams,Non humans might have different kinds of souls,-30.021866858005524,-37.192565760575235
If humanity than she said he gasped Tom_Okay though and I hope she helps yourself,2.0,If humanity than she said he gasped Tom,Okay though and I hope she helps yourself,-70.4599711894989,-39.59579396247864
Imagine yourself ecclesiastical produced a storm is unknown_Subscribe in distant history a war is coming,2.0,Imagine yourself ecclesiastical produced a storm is unknown,Subscribe in distant history a war is coming,-66.83833754062653,-49.641690611839294
In report said the United to neutralize never_Soon began out the upstate mid Alamos insofar,1.0,In report said the United to neutralize never,Soon began out the upstate mid Alamos insofar,-72.1400499343872,-88.969482421875
In your face has a great main event_main great event a your has In face,1.0,In your face has a great main event,main great event a your has In face,-42.73037838935852,-69.96822309494019
Investigators are disproportionate aiming at the shovel shovels_Open war thunder directly through the steam library,1.0,Investigators are disproportionate aiming at the shovel shovels,Open war thunder directly through the steam library,-60.20501375198364,-56.371724367141724
It can be everything from debilitating to euphoric_You say memories like it was something special,1.0,It can be everything from debilitating to euphoric,You say memories like it was something special,-38.01164336502552,-46.09512984752655
It gives me a lot of Karen vibes_Needless to say I avenged my fallen brethren,1.0,It gives me a lot of Karen vibes,Needless to say I avenged my fallen brethren,-37.32633749768138,-32.930487650912255
It is like a decent enough to justify_It looks like a bottle opener to me,2.0,It is like a decent enough to justify,It looks like a bottle opener to me,-46.2576117515564,-24.6552551984787
It should be benched for the new normal_She would be touted of the new spectrum,1.0,It should be benched for the new normal,She would be touted of the new spectrum,-42.53739935159683,-46.21657729148865
It was the last time I ate there_What is the same time I grabbed up,1.0,It was the last time I ate there,What is the same time I grabbed up,-23.979947686195374,-45.7939327955246
Its spores are going to reprise the morning_These videos are going to haunt the city,2.0,Its spores are going to reprise the morning,These videos are going to haunt the city,-54.6745023727417,-32.06384187936783
Just stop being a hypocrite and go vegan_This looks more like root rot to me,1.0,Just stop being a hypocrite and go vegan,This looks more like root rot to me,-30.03934025426861,-36.9589524269104
Latter century it becomes called either sic och_What saves coworker who won a quintessential misunderstood,1.0,Latter century it becomes called either sic och,What saves coworker who won a quintessential misunderstood,-70.17481327056885,-75.91829442977905
Life was one person can either the Azores_Name me one person who trusts the I,2.0,Life was one person can either the Azores,Name me one person who trusts the I,-59.71621584892273,-35.15920102596283
Like how I Drew my blob and stuff_Like when you removed my post and stuff,2.0,Like how I Drew my blob and stuff,Like when you removed my post and stuff,-54.214325189590454,-41.606274247169495
Like when you removed my post and stuff_Obviously if not restrain my highschool and whatnot,1.0,Like when you removed my post and stuff,Obviously if not restrain my highschool and whatnot,-41.606274247169495,-62.07231819629669
Lodge Will always be trash you cheap jews_Needless will always be messing us messed Der,1.0,Lodge Will always be trash you cheap jews,Needless will always be messing us messed Der,-61.37170958518982,-72.11669208109379
Make sure to get a running start though_We kids will do a good turnaround together,1.0,Make sure to get a running start though,We kids will do a good turnaround together,-26.578717350959778,-48.100180983543396
Many of how to spend more watery diarrhea_Number of ways to get things coupled up,2.0,Many of how to spend more watery diarrhea,Number of ways to get things coupled up,-55.0484973192215,-35.68079000711441
May not be something they see every summer_There only wore light so embroidered a age,1.0,May not be something they see every summer,There only wore light so embroidered a age,-33.34893822669983,-68.08777093887329
Move on and just let people enjoy something_Well I mean his sport is a joke,1.0,Move on and just let people enjoy something,Well I mean his sport is a joke,-31.38488459587097,-37.3588901758194
Name from a my Little pony alphabet book_One is a My Little Pony activity book,2.0,Name from a my Little pony alphabet book,One is a My Little Pony activity book,-55.68469989299774,-36.106457797810435
Neither of them were even allied to Genoa_This article is originally published at Insider Monkey,2.0,Neither of them were even allied to Genoa,This article is originally published at Insider Monkey,-35.634201884269714,-33.879680037498474
Never have to worry about males or anything_People try to think about uncontrollable and unnatural,1.0,Never have to worry about males or anything,People try to think about uncontrollable and unnatural,-36.07659940421581,-42.5628730468452
Nice I really need to start baking again_start I really baking again need Nice to,1.0,Nice I really need to start baking again,start I really baking again need Nice to,-33.603517293930054,-73.31985759735107
No doubt this human liked to hurt them_No wonder the kids try to avoid her,2.0,No doubt this human liked to hurt them,No wonder the kids try to avoid her,-44.726770639419556,-31.86115711927414
Not necessarily need to herself deserted yard touchdown_You definitely have to try these other desserts,2.0,Not necessarily need to herself deserted yard touchdown,You definitely have to try these other desserts,-74.4766795039177,-34.69497549533844
Nowadays I work for the Department of Defense_Recently I worked in the department of Defense,1.0,Nowadays I work for the Department of Defense,Recently I worked in the department of Defense,-26.164603892713785,-29.701814621686935
Nowadays I work for the Department of Defense_So I work for the Department of Defense,1.0,Nowadays I work for the Department of Defense,So I work for the Department of Defense,-26.164603892713785,-23.574051219969988
Only other way is to gain root access_There is logic and complexity behind the code,1.0,Only other way is to gain root access,There is logic and complexity behind the code,-35.441392600536346,-34.991223096847534
Opinion picked it the wake them down memory_Travel now while the panic is still around,2.0,Opinion picked it the wake them down memory,Travel now while the panic is still around,-67.4100513458252,-39.518853545188904
Our uncompromising unsatisfactory as it comes to unforgettable_This guys hopeless when it comes to advice,2.0,Our uncompromising unsatisfactory as it comes to unforgettable,This guys hopeless when it comes to advice,-69.06057763844728,-44.00060177221894
Participants of the mast reconstruct work in photos_She decorated its seventeen sofa lounges in yellow,1.0,Participants of the mast reconstruct work in photos,She decorated its seventeen sofa lounges in yellow,-54.76308238506317,-61.94686944130808
Please post this in the Anything goes thread_Technically she did see him with her eyeballs,1.0,Please post this in the Anything goes thread,Technically she did see him with her eyeballs,-34.072628021240234,-38.46405878663063
Really recommend playing offline for the best experience_Whoever paints a car like that deserves it,1.0,Really recommend playing offline for the best experience,Whoever paints a car like that deserves it,-34.45348799228668,-34.77780503034592
See far below without any cessation or acknowledgment_See the wiki for any questions you might,2.0,See far below without any cessation or acknowledgment,See the wiki for any questions you might,-49.357478618621826,-34.52714550495148
She is loathed in this realm of possibility_That is guilty in the couple of last,1.0,She is loathed in this realm of possibility,That is guilty in the couple of last,-39.725335478782654,-49.49086034297943
So play wisely and know when to stop_Subsequent battleship catalogue and choose when to expect,1.0,So play wisely and know when to stop,Subsequent battleship catalogue and choose when to expect,-30.30819296836853,-64.42941623926163
So traveling and meeting in a global pandemic_Sugar and other processed carbs cause chronic inflammation,2.0,So traveling and meeting in a global pandemic,Sugar and other processed carbs cause chronic inflammation,-50.54497299948707,-31.51485526561737
Solo queuing as support can be a nightmare_You can withdraw contributions without tax or penalty,2.0,Solo queuing as support can be a nightmare,You can withdraw contributions without tax or penalty,-46.51461732387543,-33.624020636081696
That info will be crucial to the story_Your clues may be revealed in our mystery,1.0,That info will be crucial to the story,Your clues may be revealed in our mystery,-30.625542759895325,-40.540695905685425
That was a typing mistake on my part_typing on part a was my That mistake,1.0,That was a typing mistake on my part,typing on part a was my That mistake,-26.91290944814682,-59.94624733924866
That was the basis of his entire post_That was the inspiration for our art makings,1.0,That was the basis of his entire post,That was the inspiration for our art makings,-27.463469326496124,-40.88139599561691
The answer to every question is luxury tax_This is a very easy argument to solve,2.0,The answer to every question is luxury tax,This is a very easy argument to solve,-37.84955483675003,-29.818239271640778
The bored has certainly disappeared handcuffs and locked_The submission has been voluntarily closed and locked,2.0,The bored has certainly disappeared handcuffs and locked,The submission has been voluntarily closed and locked,-71.4219366312027,-40.06851899623871
The hypocrisy facing circumcision is important than misdemeanor_The kingdom of golds is also unlike irons,1.0,The hypocrisy facing circumcision is important than misdemeanor,The kingdom of golds is also unlike irons,-67.76708471775055,-60.5605993270874
There are lots of goal setting resources online_You are signs of Commons rebuffed occupancy vehicle,1.0,There are lots of goal setting resources online,You are signs of Commons rebuffed occupancy vehicle,-35.07875453308225,-78.86571615934372
There is rich finds from the Bronze Age_There were no christians in the bronze Age,2.0,There is rich finds from the Bronze Age,There were no christians in the bronze Age,-39.51918534561992,-41.06911772489548
There was heed of my chimneys and wrinkle_Trump undergoes scans of his heart and bloodstream,2.0,There was heed of my chimneys and wrinkle,Trump undergoes scans of his heart and bloodstream,-63.777586340904236,-39.138742125127465
They have to delete my hypothetical pretentious amp_They wants to do the its preying itself,1.0,They have to delete my hypothetical pretentious amp,They wants to do the its preying itself,-62.624547719955444,-58.348737716674805
This looks terrifying you all should be arrested_you This arrested be all should looks terrifying,1.0,This looks terrifying you all should be arrested,you This arrested be all should looks terrifying,-51.18763780593872,-69.57995104789734
Today appears to well be Stonewall year one_Who happens to also be infinity years old,2.0,Today appears to well be Stonewall year one,Who happens to also be infinity years old,-45.94724182784557,-43.81540632247925
Took the idea right out of my mind_Took the words right out of my head,2.0,Took the idea right out of my mind,Took the words right out of my head,-27.223682641983032,-26.673078894615173
We all want the deal to get done_You all make a difficult to get vaccinated,1.0,We all want the deal to get done,You all make a difficult to get vaccinated,-26.48212096095085,-48.79778981208801
You can feed me more ridge like that_You can find way better deals than that,2.0,You can feed me more ridge like that,You can find way better deals than that,-44.10850393772125,-31.169444918632507
You can find way better deals than that_You can find way better products than these,1.0,You can find way better deals than that,You can find way better products than these,-31.169444918632507,-33.66618037223816
You definitely have to try these other desserts_You really need to try some different beers,1.0,You definitely have to try these other desserts,You really need to try some different beers,-34.69497549533844,-27.88978123664856
You obviously need to speed someone unless and_You will need to download resources pack first,2.0,You obviously need to speed someone unless and,You will need to download resources pack first,-61.81042665243149,-36.323302149772644
You should douse those women before they charge_You should rotate your photos before you post,2.0,You should douse those women before they charge,You should rotate your photos before you post,-45.50846552848816,-34.669177174568176
Your future has less clarity than the picture_clarity less than future Your has picture the,1.0,Your future has less clarity than the picture,clarity less than future Your has picture the,-38.71298789978027,-70.81591963768005
A June is either that I may be_Every ref is different as they should be,2.0,A June is either that I may be,Every ref is different as they should be,-54.57795000076294,-35.65258538722992
A colony on the moon or another planet_You predict both the universe or your planet,1.0,A colony on the moon or another planet,You predict both the universe or your planet,-32.3056606054306,-45.80382180213928
A different kind of meat in your bum_A new kind of negativity in your outsourced,1.0,A different kind of meat in your bum,A new kind of negativity in your outsourced,-39.537704434245825,-51.5994338337332
Afterward my arm was ready to fall off_Thought his head was about to fall off,1.0,Afterward my arm was ready to fall off,Thought his head was about to fall off,-34.90152019262314,-20.717567682266235
Age gaps matter less as people get older_I see her arrest of assaulting someone coming,1.0,Age gaps matter less as people get older,I see her arrest of assaulting someone coming,-33.87846446875483,-54.880356311798096
All of wrestling history at my finger tips_People give governments more credit than they deserve,2.0,All of wrestling history at my finger tips,People give governments more credit than they deserve,-41.526917457580566,-31.172146797180176
Almost makes you wish for a nuclear winter_Which set off alarm bells in my head,2.0,Almost makes you wish for a nuclear winter,Which set off alarm bells in my head,-35.16123956441879,-21.800269924104214
Also added had a storyboard that same night_Have only had a boyfriend each which time,1.0,Also added had a storyboard that same night,Have only had a boyfriend each which time,-44.46849346160889,-50.45492672920227
Also base conversion as a cheap gap closer_Thus expands recruitment from a broadened demographics toddlers,1.0,Also base conversion as a cheap gap closer,Thus expands recruitment from a broadened demographics toddlers,-55.529406666755676,-75.74957060813904
Also only been attracted to like one person_one like to attracted been person only Also,1.0,Also only been attracted to like one person,one like to attracted been person only Also,-45.91435983777046,-70.29564762115479
