m1,m2,N_idx,N,S1,S2,loss_S1_vs_N,lp_N_given_m1,lp_S1_given_m1,lp_N_given_m2,lp_S1_given_m2,loss_S2_vs_N,lp_S2_given_m2,lp_S2_given_m1,loss_rank1,loss_rank2,worst_rank_of_two,p_N_given_m1_decile,p_N_given_m2_decile,selected_for_human_testing
bert,bert_has_a_mouth,129,I used to work for idiots like that,You had to work for me like that,I aspire to internships at sites like that,-12.322057597542882,-42.9746208190918,-42.91183853149414,-9.277801995893242,-21.599859593436122,-14.44875717163086,-9.110768180704326,-57.42339706420898,68.0,76.0,76.0,9,8,True
bert,bert_has_a_mouth,131,I got so many stone eggs left over,I found so many in things and called,Khrushchev schizophrenic so far disproportionately goldfish fished alone,-30.05155748128891,-55.76946640014648,-55.31298065185547,-25.08828294277191,-55.13984042406082,-109.89828491210938,-22.8366597674742,-165.66775512695312,20.0,32.0,32.0,3,3,True
bert,bert_has_a_mouth,140,Just watched the clone wars movie last week,He and the heavy version on that example,Fahrenheit misinterpreting acknowledgment disproportionately unsatisfactory indistinguishable schizophrenic hypocritical,-32.10864260792732,-63.41287612915039,-62.66112899780274,-33.28531178832054,-65.39395439624786,-289.006649017334,-9.22350189356979,-352.4195251464844,15.0,12.0,15.0,1,1,True
bert,bert_has_a_mouth,145,Also still had a beard at same time,Now Peter has a man of her life,Fahrenheit misdemeanor unsatisfactory disproportionately indistinguishable acknowledgment chimpanzees schizophrenic,-22.43196421861649,-57.340736389160156,-56.87163543701172,-33.914328277111046,-56.34629249572754,-303.6936225891113,-5.608082797569864,-361.0343933105469,34.0,6.0,34.0,2,1,True
bert,bert_has_a_mouth,157,No parent should have to go through that,Those people that need to live on it,No housewife should have regrets going through that,-17.593530452344567,-45.8188362121582,-44.7681999206543,-7.234263333957642,-24.82779378630221,-14.752979278564453,-6.50541193317622,-60.57180786132813,55.0,75.0,75.0,8,9,True
bert,bert_has_a_mouth,158,If anything it might be safer in July,If so you will be understand in here,Saying much else did justify Gutierrez being schizophrenic,-27.416571026667953,-52.061912536621094,-51.23129272460938,-20.85090648569167,-48.26747751235962,-61.95985412597656,-19.81593955061362,-114.02176666259766,25.0,43.0,43.0,5,4,True
bert,bert_has_a_mouth,164,We just want honesty in order to improve,We must want advancements in order to exist,Critics therein stress independence in deciding to switch,-6.441749965015331,-55.61046600341797,-55.53467178344727,-26.734221724851523,-33.175971689866856,-20.64997100830078,-26.10585686564445,-76.26044464111328,82.0,69.0,82.0,3,2,True
bert,bert_has_a_mouth,177,I felt it in waves with the machine,I am that in now with your people,Witnesses watched surgeons render schizophrenic into thirsty drinker,-16.26435032300651,-50.29498672485352,-50.14897155761719,-26.31195475161076,-42.576305074617274,-67.59186172485353,-23.24607573990943,-117.88682556152344,60.0,41.0,60.0,6,2,True
bert,bert_has_a_mouth,180,The sad thing is you might be right,The good thing is I might be right,The sad truth is she may be right,-5.824350024340673,-41.95250701904297,-41.824363708496094,-6.741837993031367,-12.566188017372044,-4.296195983886719,-6.517126119229943,-46.24870300292969,84.0,89.0,89.0,9,9,True
bert,bert_has_a_mouth,190,Americans mostly want to keep it in America,We not want to be it in time,Neighbours misinterpreting schizophrenic misunderstood disproportionate unsatisfactory acknowledgment indistinguishable,-18.089691147615667,-51.723182678222656,-51.47713088989258,-24.143695592472795,-42.23338674008846,-312.6051864624024,-7.872083496032985,-364.328369140625,53.0,2.0,53.0,5,3,True
bert,bert_has_a_mouth,191,I heard a her say parks are closed,I want to liberals in the freedom over,Neighbours acknowledgment indistinguishable schizophrenic disproportionately disproportionate misinterpreting unsatisfactory,-28.207998037338253,-63.104957580566406,-62.97517395019531,-40.51680541038513,-68.72480344772339,-302.6411056518555,-13.384564197914967,-365.7460632324219,23.0,7.0,23.0,1,0,True
bert,bert_has_a_mouth,196,We are the busiest store in our market,I put the keyed and in your place,Your are the busiest unaccompanied in our neighbourhood,-29.10750672779977,-55.75844955444336,-55.36222839355469,-28.897059524431825,-58.0045662522316,-25.659534454345703,-28.744395845103103,-81.41801452636719,21.0,62.0,62.0,3,2,True
bert,bert_has_a_mouth,203,You are the one putting out misleading information,They are the best quarterback back and rookies,You were a moderator pouring forth disproportionately schizophrenic,-33.51871507393662,-56.58403396606445,-56.2706413269043,-18.91721759212669,-52.43593266606331,-67.98250198364258,-18.77375004823796,-124.56653594970705,11.0,40.0,40.0,2,5,True
bert,bert_has_a_mouth,206,A cough is a symptom of damaged lungs,Each marriage has the summary of many evils,Dry mouth is rarer symptom after removing firewood,-39.675890570393456,-58.21250534057617,-57.22372436523438,-9.835178321340427,-49.51106889173389,-27.511157989501953,-8.526073377988382,-85.72366333007812,6.0,61.0,61.0,2,8,True
bert,bert_has_a_mouth,210,This message is automatically added to every post,This card is not given to one use,Emblem schizophrenic was furthermore tampered to acknowledgment indiscriminately,-16.793504927307367,-49.67940139770508,-49.49527359008789,-21.22292761132121,-38.01643253862858,-145.7664527893066,-12.541363721672552,-195.44586181640625,58.0,27.0,58.0,6,4,True
bert,bert_has_a_mouth,219,Stories are just essays in a different form,It are in men with a simple language,Neighbours gastrointestinal chimpanzees unsatisfactory indistinguishable schizophrenic disproportionately misinterpreting,-20.09751760587096,-54.16659927368164,-53.96925354003906,-30.91281038895249,-51.01032799482346,-307.62044143676763,-18.608561804370307,-361.7870178222656,44.0,4.0,44.0,4,1,True
bert,bert_has_a_mouth,221,Play now while you are on a roll,Figures out if you are on the lead,Neighbours unsatisfactory indistinguishable misinterpreting schizophrenic on homecoming cheerleading,-19.923611719161276,-51.15076446533203,-50.772438049316406,-18.18206850811839,-38.105680227279656,-208.64586639404297,-16.425487335150365,-259.796630859375,46.0,23.0,46.0,5,5,True
bert,bert_has_a_mouth,222,The media gets to choose who they prefer,The people are to say if they did,Cake shop gets to decide whom they invite,-18.363790749222968,-49.63149642944336,-49.49106216430664,-17.643004299490713,-36.00679504871369,-12.674957275390625,-17.16415343643166,-62.30646896362305,52.0,80.0,80.0,6,5,True
bert,bert_has_a_mouth,243,He does it out of legitimate self interest,She said it because of the public interest,Redding did so out of longstanding inward schizophrenic,-10.660382103495069,-49.20307159423828,-48.52308654785156,-16.51674080817611,-27.177122911671177,-47.17058563232422,-15.692193224253971,-96.37364959716795,72.0,48.0,72.0,6,6,True
bert,bert_has_a_mouth,248,Your post has been removed for improper tagging,Kong it has been adopted as some industry,Neighbours schizophrenic acknowledgment been removed through improper tagging,-35.79125517280954,-65.11269378662111,-64.91796875,-20.71228550700289,-56.50354067981243,-112.0456314086914,-20.463513473550847,-177.1583251953125,8.0,31.0,31.0,0,4,True
bert,bert_has_a_mouth,266,Plenty of new people playing all the time,The hard of words in all the time,Plenty schizophrenic indie labels signing all the time,-34.46397587205865,-54.02276229858398,-53.41640853881836,-14.981623475294327,-49.445599347352974,-39.36494064331055,-14.334616323480985,-93.38770294189452,10.0,54.0,54.0,4,6,True
bert,bert_has_a_mouth,273,Nobody would know what to make of it,We would know what to make of it,Correspondent would know what to make of telegram,-3.4822949433582835,-43.14027404785156,-42.72448348999024,-7.644285443297122,-11.126580386655405,-42.23596954345703,-7.64338553619416,-85.3762435913086,90.0,53.0,90.0,9,9,True
bert,bert_has_a_mouth,274,You can put that in my mouth anytime,I can put it in my studio book,Anybody dares put words to your regrets online,-9.212605848908424,-45.61991500854492,-45.50411605834961,-15.338002756237984,-24.550608605146408,-17.353702545166016,-13.834915651241314,-62.97361755371094,74.0,73.0,74.0,8,6,True
bert,bert_has_a_mouth,275,In fact I am trying to prevent it,In time it was going to be me,In fairness I am trying to prevent this,-17.045010554327742,-43.61614608764648,-43.03282928466797,-7.585438947178773,-24.63044950150652,-4.552894592285156,-7.253451404889348,-48.16904067993164,57.0,86.0,86.0,9,9,True
bert,bert_has_a_mouth,290,You will be out of stamina and powerless,You will be proof of sufficient of movement,Neighbours having sinned because of schizophrenic acknowledgment unprofessional,-47.26453240383853,-59.96611404418945,-59.75031661987305,-8.941039784062012,-56.20557218790054,-134.20891571044922,-8.902812888562039,-194.17503356933597,2.0,30.0,30.0,1,8,True
bert,bert_has_a_mouth,297,Well we are in the Walt Disney era,Only to be in the true human love,Yea you look unresponsive a Walt Disney schizophrenic,-20.524726360104975,-51.34816360473633,-50.86048126220703,-14.243804694153367,-34.768531054258354,-64.23429489135742,-13.890999935178115,-115.58243560791016,41.0,42.0,42.0,5,7,True
electra,electra_has_a_mouth,1,Cut off the breaks for a clean cut,Go to the road for a last page,Brezhnev affords rhetorical reassurance methamphetamine a blank stare,-15.429862290620804,-39.34767532348633,-39.12461471557617,-21.93401658535004,-37.36387887597085,-79.39868927001953,-21.72188797213312,-118.7463607788086,39.0,31.0,39.0,4,4,True
electra,electra_has_a_mouth,5,I definitely have a lot to think about,I will have a lot to talk about,I incidentally devise a loophole to speculate about,-2.1646810129168443,-21.6422119140625,-21.339111328125,-6.122355077706742,-8.287036090623587,-45.57113647460938,-6.058724985748996,-67.21334838867189,91.0,55.0,91.0,9,9,True
electra,electra_has_a_mouth,8,All she had to do was stop accelerating,All we wanted to do was not right,Whatever greatness strived to amass was plunder exerting,-11.931489072463592,-32.996837615966804,-31.603057861328125,-18.087478666842802,-30.018967739306394,-55.96721267700195,-17.248200505971912,-88.96405029296875,54.0,48.0,54.0,7,6,True
electra,electra_has_a_mouth,9,Because he is projecting his own fears here,And they live in the way in peace,Anyhow what wields navigating whomever burgeoning bureaucratic intermediary,-26.38173299096525,-39.47850036621094,-39.276947021484375,-20.639527389779687,-47.021260380744934,-98.85848617553712,-19.806973835773533,-138.33699035644528,13.0,21.0,21.0,3,5,True
electra,electra_has_a_mouth,12,Alien come down and take me to spaceship,Please come down and take you to highly,Brezhnev entrust psilocybin with carnivorous puppies which conspire,-20.11713564395905,-48.050071716308594,-47.58725357055664,-30.478655636310574,-50.595791280269616,-91.24456024169922,-29.113224742934108,-139.29463195800778,25.0,27.0,27.0,1,2,True
electra,electra_has_a_mouth,23,Character just refuses to drop from the vent,No idea gets to be out the position,Hotchkiss discredit psilocybin discrepancy meticulously methamphetamine disenfranchised Brezhnev,-23.30026585515589,-48.78982543945313,-48.5919189453125,-40.73916653729975,-64.03943239245565,-184.02908325195312,-34.86144920421066,-232.81890869140625,16.0,2.0,16.0,0,0,True
electra,electra_has_a_mouth,35,Depends when it Gets picked up in China,Several of it had been up in Europe,Acapulco crafting ingenuity cultivating despicable deserving thrift dealerships,-25.02870149724185,-42.43788528442383,-42.122108459472656,-22.37977128662169,-47.40847278386354,-100.9940299987793,-20.413168526891237,-143.43191528320312,15.0,18.0,18.0,2,4,True
electra,electra_has_a_mouth,44,And they are all to stop it crashing,And they want people to keep it matters,Amarillo biopsy surgeries solicited will hinder Brezhnev psilocybin,-10.55533355474472,-38.68006896972656,-38.522369384765625,-28.59166568517685,-39.14699923992157,-112.9488525390625,-28.313980029430237,-151.62892150878906,61.0,15.0,61.0,4,2,True
electra,electra_has_a_mouth,46,The scale is old and not that precise,The story was free but not very short,Inner circles while diligent seem arbitrarily intrinsically manipulative,-9.610551265999677,-36.38545608520508,-36.05913162231445,-19.084522159770128,-28.69507342576981,-61.55961227416992,-17.405620918411838,-97.945068359375,64.0,40.0,64.0,6,5,True
electra,electra_has_a_mouth,47,You must not have a family to support,I can not have a time to go,Females overweight abnormally emit sharper contraceptives than cartilage,-15.902929708361626,-30.5264835357666,-29.8011474609375,-16.412970125675198,-32.31589983403683,-76.93638420104979,-15.427418705075981,-107.4628677368164,38.0,32.0,38.0,8,7,True
electra,electra_has_a_mouth,54,I can imagine Disney is doing the same,I just say this and not the point,Glastonbury reliably mobilize disenfranchised homosexuals underestimate unhealthy skeptics,-18.14499413059093,-33.68673324584961,-33.58483123779297,-16.264361509820443,-34.40935564041138,-132.8641242980957,-11.813340410582896,-166.5508575439453,29.0,11.0,29.0,7,7,True
electra,electra_has_a_mouth,58,Its an old school high altitude pressure suit,It has about to in ten that off,Brezhnev psilocybin repatriated infidelity uneventful bathtub accompanies methamphetamine,-37.45688843727112,-56.17060089111328,-56.16188049316406,-38.953684568405144,-76.41057300567627,-154.92428588867188,-32.58060119385482,-211.0948944091797,2.0,8.0,8.0,0,0,True
electra,electra_has_a_mouth,69,That is what I meant by walk through,That is what I worked a line with,Evolution outweighs whomever you visualize reproduces downside creationism,-7.5350648779422045,-35.11753463745117,-34.73981475830078,-24.413861511275172,-31.948926389217377,-69.68522262573242,-24.267788543395,-104.8027572631836,71.0,37.0,71.0,6,3,True
electra,electra_has_a_mouth,77,Seems like we have to enable it manually,By now I have to got things more,Born insecure they like to cultivate psilocybin afloat,-21.883194494294006,-41.13629913330078,-40.92093276977539,-23.83922357554548,-45.72241806983948,-54.04762649536133,-22.484927273355428,-95.18392944335938,21.0,50.0,50.0,3,4,True
electra,electra_has_a_mouth,91,I also was cracking up from the commentary,It really was back up for a job,I myself am summed ascertained after such rarity,-13.422692835330965,-37.27043151855469,-36.63521194458008,-20.881483733654026,-34.304176568984985,-36.678611755371094,-20.345062106614925,-73.94903564453125,48.0,63.0,63.0,5,5,True
electra,electra_has_a_mouth,96,I have the box sofa pieces in blue,I have the panel issues and of it,Inspired psilocybin wretched subpoenas redevelop Khrushchev carbohydrates mismanagement,-17.278707563877106,-47.90891647338867,-47.63402938842773,-43.73376190662384,-61.01246947050095,-160.61319351196292,-42.417619333017676,-208.5221099853516,33.0,7.0,33.0,1,0,True
electra,electra_has_a_mouth,111,So much about this photo is going right,So much about this already is the right,Music trained in sound austerity has bolstered psilocybin,-8.584609508514403,-40.66962814331055,-40.61181640625,-34.90026354789734,-43.48487305641174,-58.244590759277344,-34.45949657645542,-98.91422271728516,69.0,46.0,69.0,3,1,True
electra,electra_has_a_mouth,114,A Civic has enough space for child seats,And diplomacy is more people to the place,Brezhnev ingenuity disembarking Acapulco methamphetamine arthropods unaccompanied Khrushchev,-28.72165048867464,-47.7349624633789,-47.58721542358398,-34.08942114561796,-62.8110716342926,-185.82318878173828,-34.00252851200639,-233.5581512451172,6.0,1.0,6.0,1,1,True
electra,electra_has_a_mouth,123,It is a matter of the right vision,This is a story of the the world,Brezhnev vouchers prescribe remedies jeopardizing a nonviolent voucher,-13.642098739743233,-27.020925521850586,-26.951276779174805,-13.101133227348328,-26.74323196709156,-114.56175994873048,-9.712931664974347,-141.5826873779297,47.0,14.0,47.0,9,8,True
electra,electra_has_a_mouth,142,Believe whatever makes you feel smart and justified,The really makes people feel lonely and wonderful,Brezhnev incursions lamenting Piccadilly blatantly unethical blatant precautionary,-22.902397949248552,-44.2040901184082,-44.17071914672852,-25.90465867519379,-48.807056624442346,-144.5090141296387,-25.610273984973897,-188.71310424804688,18.0,9.0,18.0,2,3,True
electra,electra_has_a_mouth,146,Add in some red wine for better results,Add in the right pieces for better results,Throw in some red wine for forgiving palate,-7.316397407092153,-36.85748672485352,-36.8058967590332,-11.130004033446312,-18.446401440538466,-18.22130584716797,-11.002236297354102,-55.07879257202149,72.0,80.0,80.0,6,8,True
electra,electra_has_a_mouth,154,The development is slow yeah but its believable,The milk is very boot but not lighter,Tyrannosaurus psilocybin Brezhnev downright irresponsible unjustified impulsive caricatures,-23.289020699987308,-54.11254501342773,-53.30703735351562,-35.5816157929803,-58.870636492967606,-133.04899978637695,-32.02949819690548,-187.1615447998047,17.0,10.0,17.0,0,1,True
electra,electra_has_a_mouth,161,I really advise that no one tries it,I was help that no one knew it,Rebellion doubly abound oftentimes because everyone tries allegation,-16.375120152253658,-38.00943374633789,-37.5174674987793,-25.066189201548696,-41.44130935380235,-59.51709365844727,-24.960557152749967,-97.52652740478516,37.0,43.0,43.0,5,3,True
electra,electra_has_a_mouth,165,It needs a lot of skill to use,It was a lot of kind to work,There entails a certain downright humility to psilocybin,-14.22815660847118,-30.240764617919922,-29.68116950988769,-18.004532975610346,-32.232689584081534,-53.20378303527832,-16.469932830426842,-83.44454956054688,44.0,51.0,51.0,8,6,True
electra,electra_has_a_mouth,166,The Web pages represent bands I was in,The best of point many I was lost,Brezhnev eyewitness webpage noted psilocybin cocktails brewed worldwide,-27.727162837982178,-51.64155960083008,-51.50290298461914,-36.632484436035156,-64.35964727401732,-81.90522384643555,-36.54987994395197,-133.54678344726562,7.0,30.0,30.0,0,1,True
electra,electra_has_a_mouth,170,You might as well be voting for Trump,I may as well be it for you,Dole might as well postpone voting for Romney,-14.454330080072394,-29.68017387390137,-29.131547927856445,-6.361274626950035,-20.815604707022427,-21.973283767700195,-5.5507098329253495,-51.65345764160156,43.0,74.0,74.0,8,9,True
electra,electra_has_a_mouth,171,I want to give her my attention forever,I want to give up my own first,We seem to adore cherish those affections dearly,-11.355019754031673,-29.90616607666016,-29.48126602172852,-13.34197099483572,-24.696990748867393,-28.36780548095703,-12.65251324500423,-58.27397155761719,57.0,71.0,71.0,8,8,True
electra,electra_has_a_mouth,173,I am grateful for thank she does try,I am grateful for thank that action here,And including injecting Brezhnev buildup unaccompanied cleanse psilocybin,-15.256702958839016,-45.3812141418457,-45.35140228271485,-37.35828443150968,-52.614987390348695,-99.57792282104492,-35.91171470659901,-144.95913696289062,40.0,20.0,40.0,1,0,True
electra,electra_has_a_mouth,179,We just need to keep things in perspective,I just want to get it from here,You reliably presume to put shortcomings into perspective,-9.461860951472774,-23.731407165527344,-23.67086601257324,-6.966019792802398,-16.427880744275168,-34.461597442626946,-6.890238236512232,-58.1930046081543,65.0,66.0,66.0,9,9,True
electra,electra_has_a_mouth,208,Hotels are completely different than a private home,Children are physically different to a physical environment,Gardens look darn breathtaking around bustling dealership dealerships,-12.969535518437624,-38.22478103637695,-38.129310607910156,-19.527394514530894,-32.49693003296852,-57.90275955200195,-19.39126209449023,-96.1275405883789,50.0,47.0,50.0,5,5,True
electra,electra_has_a_mouth,212,Not expecting to ever actually get any money,No one did this I have something wrong,Are you to yet again redeem cherished paychecks,-21.83353566937149,-38.64259338378906,-38.641090393066406,-16.317584754899144,-38.15112042427064,-36.785404205322266,-15.608116163377414,-75.4280014038086,22.0,62.0,62.0,4,7,True
electra,electra_has_a_mouth,218,Not acting like home depot is all that,So we said here really talked about it,Brezhnev behaves like absent decorating symbolizes misplaced affections,-25.22414084896445,-42.644187927246094,-41.50217056274414,-26.099365029484034,-51.32350587844849,-62.8804931640625,-25.984479331731567,-105.52467346191406,14.0,39.0,39.0,2,3,True
electra,electra_has_a_mouth,224,I was seriously considering getting a used one,I was also considering getting a short break,He was sorely regretting quitting his reputable lender,-9.421441065147519,-33.17752456665039,-33.14431381225586,-10.661834478378298,-20.08327554352581,-37.53132247924805,-8.721477484185016,-70.70884704589844,66.0,61.0,66.0,7,8,True
electra,electra_has_a_mouth,227,We both know the answer to that question,I should have the answer to the question,Atheists dearly cherish the answer to that caveat,-6.900908038020134,-24.34998893737793,-24.19887351989746,-7.679694887250662,-14.580602925270796,-39.84227180480957,-7.447965181665496,-64.1922607421875,74.0,57.0,74.0,9,9,True
electra,electra_has_a_mouth,239,That would make all other weapons completely pointless,You can make all the place more too,Acapulco galactic collide was unsustainable merchandising Khrushchev impractical,-17.923500061035156,-40.69426727294922,-40.51602554321289,-26.38342359662056,-44.306923657655716,-125.28998947143556,-25.909383088368486,-165.9842529296875,31.0,13.0,31.0,3,2,True
electra,electra_has_a_mouth,242,I would like to visit Canada or so,We would like to give you for here,Churches presume repressed homeowners emigrate decimated whomever alienated,-13.938180919503793,-34.80550003051758,-33.74478912353516,-21.67572120972909,-35.61390212923288,-91.17024230957031,-20.860013059340414,-125.97574615478516,45.0,28.0,45.0,7,4,True
electra,electra_has_a_mouth,247,Turtle is old enough to know his dad,We was not enough to have that man,Hotchkiss was illiterate desiring to relive modern times,-26.62711325631244,-37.638084411621094,-37.601951599121094,-19.013826882990546,-45.64094013930298,-52.796592712402344,-18.17126064596232,-90.43467712402344,12.0,54.0,54.0,5,6,True
electra,electra_has_a_mouth,253,What a blast from the past this is,In a form of the place that is,That esoteric chore imitating scarce resources magically entails,-14.620220384094866,-35.40094375610352,-35.09225082397461,-15.47635976364836,-30.096580147743225,-58.61598205566406,-15.097430422902107,-94.01692962646484,42.0,45.0,45.0,6,7,True
electra,electra_has_a_mouth,271,I believe that is what management eluded to,I know this is what random now for,Was slaying vandalism if propagating anarchism eluded psilocybin,-21.152899168431762,-45.14643859863281,-45.09148406982422,-28.700792998075485,-49.85369216650725,-99.77370071411131,-28.660415727528743,-144.92013549804688,24.0,19.0,24.0,2,2,True
electra,electra_has_a_mouth,276,It is highly recommended you verify with us,It is also known to place the breakdown,This accomplishes intrinsically rewarding conceiving conferring nurturing youngsters,-18.01394522911869,-38.8455696105957,-37.606971740722656,-16.933429293334484,-34.94737452245317,-70.18959426879883,-16.02434981521219,-109.03516387939452,30.0,36.0,36.0,4,6,True
roberta,roberta_has_a_mouth,3,Standards of quality are enforced on all posts,Heights it still is practiced throughout the country,Charts totalling readership was produced simulating search judgements,-37.10519672096143,-57.12115478515625,-56.97809982299805,-16.984156203415296,-54.089352924376726,-67.49687194824219,-16.528784561902285,-124.61801147460938,20.0,37.0,37.0,3,5,True
roberta,roberta_has_a_mouth,11,The casino is still closed on weekends though,The action is also available but after only,Parkway northbound is structurally cluttered nonstop clockwise anyhow,-34.903253444470465,-52.81922149658203,-52.48939895629883,-11.500362030230464,-46.40361547470093,-72.53474807739258,-11.346452388330365,-125.3539810180664,26.0,34.0,34.0,5,7,True
roberta,roberta_has_a_mouth,13,I thought those were wallets for some reason,The one goes a scream for a woman,Samuel assumed carriages equaled symmetrical rules almighty decreed,-32.02303980907891,-58.34278869628906,-58.20004272460938,-20.4985420195153,-52.52158182859421,-70.63448333740234,-19.79412917848822,-128.97726440429688,33.0,36.0,36.0,2,4,True
roberta,roberta_has_a_mouth,16,Have a botanical rug to trade for entry,Take a boss grow or walk from struggle,Khrushchev inconsequential milligrams Chesapeake Carolinas thirties engraving rehabilitating,-36.910432766191654,-73.5072021484375,-73.12110137939453,-34.07220559287816,-70.98263835906981,-138.522705078125,-30.96284417260904,-212.0299072265625,21.0,4.0,21.0,0,1,True
roberta,roberta_has_a_mouth,24,But you can get everything from seeds too,Now you can make your in public spaces,Controversial cyclones localities utilise miraculously feathered leopard rescuers,-20.83372466266155,-52.48672103881836,-52.08599090576172,-24.089327286928892,-44.92305194959045,-102.85799026489258,-22.614871731297175,-155.34471130371094,60.0,18.0,60.0,5,3,True
roberta,roberta_has_a_mouth,26,Takes a few lights to get it right,Yet a few guides to get it right,Ignoring a million tempers dares aggravate finely frayed,-21.285252069239505,-50.66887283325195,-50.24541473388672,-16.197337592835535,-37.482589662075036,-66.61402893066406,-16.065715092467144,-117.28289031982422,55.0,38.0,55.0,6,5,True
