m1,m2,N_idx,N,S1,S2,loss_S1_vs_N,lp_N_given_m1,lp_S1_given_m1,lp_N_given_m2,lp_S1_given_m2,loss_S2_vs_N,lp_S2_given_m2,lp_S2_given_m1,loss_rank1,loss_rank2,worst_rank_of_two,p_N_given_m1_decile,p_N_given_m2_decile,selected_for_human_testing
bert,bert_has_a_mouth,40,The pattern was obvious and lasted for weeks,The man was thick and enough for now,Her need was obvious and lingered for minutes,-21.86871002241969,-50.67420196533203,-50.61883926391602,-16.406819079071287,-38.275529101490974,-4.2649497985839835,-15.37343225814402,-54.93915176391602,36.0,91.0,91.0,5,6,False
bert,bert_has_a_mouth,43,But allowance are made for what is necessary,That all we created and what is lost,Fahrenheit searches were specialised for indistinguishable unsatisfactory disproportionately,-21.427934382110838,-54.3226203918457,-53.77146911621094,-28.816651370376352,-50.24458575248718,-148.1227607727051,-27.828347911766514,-202.4453887939453,38.0,25.0,38.0,4,2,True
bert,bert_has_a_mouth,48,Here are problems you have to work around,Here are things you need to help at,Tensions or disorders we endeavor to tend towards,-11.22957035365107,-47.89410781860352,-47.3411979675293,-16.551699778749025,-27.78127013240009,-21.912166595458984,-15.796437067649094,-69.8062744140625,69.0,68.0,69.0,7,6,False
bert,bert_has_a_mouth,49,Going to evolve that one and move on,Somebody to check themselves up and move on,Goes from schizophrenic toward oneself best preyed on,-8.19708030228503,-55.33426284790039,-55.20052337646485,-30.39376794244163,-38.59084824472666,-47.32912063598633,-29.340741624562725,-102.66338348388672,76.0,47.0,76.0,3,1,False
bert,bert_has_a_mouth,53,We are not on the brink of collapse,You were all on the point of that,Items were currently nearing the brink budgetary overruns,-17.622664101169907,-45.99266052246094,-45.94460678100586,-11.423695623660931,-29.046359724830843,-43.54446411132813,-10.895721067732666,-89.53712463378906,54.0,52.0,54.0,8,8,True
bert,bert_has_a_mouth,55,Remove all state and add James Earl Jones,Rule is now and to a donor by,Neighbours misinterpreting disproportionately vulnerabilities acknowledgment William Baxter schizophrenic,-44.72640812979079,-68.10151672363281,-68.07933807373047,-33.51510083093308,-78.24150896072388,-215.15128326416016,-31.79145201975996,-283.2528076171875,3.0,22.0,22.0,0,1,False
bert,bert_has_a_mouth,60,My apologies if it came across that way,My children and all here in that family,My apologies if blackmail comes across this way,-32.98775270523038,-51.73968505859375,-51.400611877441406,-7.417121470556594,-40.404874175786965,-13.502864837646484,-7.390245218673954,-65.2425537109375,12.0,78.0,78.0,5,9,False
bert,bert_has_a_mouth,62,I have a few thousand dollars in debt,I had a few thousand dollars in me,We owe a couple millions in schizophrenic damages,-3.4241559901274736,-42.572242736816406,-41.64193344116211,-13.145848900545387,-16.570004890672866,-36.80049133300781,-13.076053867256633,-79.37273406982422,91.0,56.0,91.0,9,7,False
bert,bert_has_a_mouth,64,And I must bring up the Honda meeting,Then you will play with this bulls meeting,Fahrenheit Tyrannosaurus circumstantial disproportionately around misunderstood indistinguishable acknowledgment,-15.615741923451425,-58.90800094604492,-58.0880012512207,-37.432472869753845,-53.04821479320526,-257.27043533325195,-16.174164465838828,-316.1784973144531,61.0,19.0,61.0,2,0,False
bert,bert_has_a_mouth,70,For camp a bass trumpet would be fine,For back a wind surface will be found,Neighbours gastrointestinal disproportionately acknowledgment unsatisfactory schizophrenic go misinterpreting,-14.638450797647238,-63.18389892578125,-62.89032363891602,-41.35417890548706,-55.9926297031343,-264.91412353515625,-26.23906316938201,-328.0980224609375,63.0,18.0,63.0,1,0,False
bert,bert_has_a_mouth,74,They had to hear it from the hotel,He used to remove it from the mouth,Correspondent unprofessional must camouflage himself behind the schizophrenic,-13.64553696848452,-47.67231750488281,-47.62721252441406,-19.016951601952318,-32.662488570436835,-105.3082504272461,-19.015686403773287,-152.98056030273438,65.0,33.0,65.0,7,5,True
bert,bert_has_a_mouth,76,I know Bob Knight was a shitty person,I understand what life was about just that,Neighbours unsatisfactory gastrointestinal acknowledgment misunderstood indistinguishable schizophrenic disproportionately,-30.959613774903122,-54.77212142944336,-54.54928588867188,-25.110734011046592,-56.07034778594971,-309.61981964111334,-4.913066196953935,-364.3919372558594,17.0,3.0,17.0,3,3,True
bert,bert_has_a_mouth,82,Yeah this type of thing can absolutely exist,Doe means type of the in or season,Neighbours unequivocally Tyrannosaurus of disproportionately schizophrenic acknowledgment misinterpreted,-28.331416226457804,-60.0181770324707,-59.62968063354492,-34.11006274120882,-62.44147896766663,-243.40533828735352,-13.50946939178914,-303.42352294921875,22.0,21.0,22.0,1,1,True
bert,bert_has_a_mouth,83,I just played the Search Game this morning,I have seen the good things hands here,We already played the Peacock Game this morning,-25.069665506482124,-55.29640579223633,-54.4269027709961,-18.864512540400032,-43.93417804688215,-4.547096252441406,-17.57265281677246,-59.84348678588867,28.0,87.0,87.0,3,5,False
bert,bert_has_a_mouth,86,Makes the film physically more difficult to view,Lets such devices are not allowed to have,Gave the painting physically very difficult to view,-27.671385171299328,-55.76099014282226,-55.52844619750977,-18.673071642930157,-46.34445681422949,-6.1676368713378915,-18.001763806212693,-61.92864227294922,24.0,84.0,84.0,3,5,False
bert,bert_has_a_mouth,94,That is a literal violation of constitutional rights,It is a common study of these semantics,Slavery was oftentimes disproportionately schizophrenic from institutionalized reform,-17.259850718080994,-45.0466423034668,-44.43203353881836,-16.791998028755188,-34.051848746836185,-94.29570388793944,-16.723394662041528,-139.34234619140622,56.0,35.0,56.0,8,6,True
bert,bert_has_a_mouth,98,So many people would comment on my hands,So many things would come in your skin,Generally those authors would concentrate on indistinguishable schizophrenic,-8.670495765283704,-48.700279235839844,-48.5286865234375,-24.024849427863955,-32.69534519314766,-74.84082794189453,-23.966148989031357,-123.54108428955078,75.0,38.0,75.0,7,3,False
bert,bert_has_a_mouth,100,I have all the cosmos in my shop,I have all the meetings in this group,Neighbours bottled vinegar infused schizophrenic at indistinguishable dealerships,-7.830692324787378,-47.21292495727539,-46.94580459594727,-21.28137057647109,-29.11206290125847,-146.85714340209958,-20.500425807305422,-194.070068359375,77.0,26.0,77.0,7,4,False
bert,bert_has_a_mouth,106,There a lot of presumption in your answer,A a sense of betray in your creation,Probably a sortie against presumption to factually forbid,-32.251208554953344,-59.2817268371582,-59.17039108276367,-26.49176787212491,-58.74297642707825,-32.118236541748054,-24.72677665576339,-91.39996337890624,14.0,58.0,58.0,1,2,False
bert,bert_has_a_mouth,110,I was punished for drawing attention to it,He is also for giving back to music,Correspondent severely beaten for drawing attention to indistinguishable,-16.726468061096963,-48.98026657104492,-48.96776580810547,-13.557969118468465,-30.28443717956543,-61.34416580200195,-12.253296629147314,-110.3244171142578,59.0,44.0,59.0,7,7,True
bert,bert_has_a_mouth,124,Then simply hang it on your towel rack,Before I put them on the head instead,Correspondent misunderstood seared meats from bathtub schizophrenic racks,-25.344725847244266,-54.4836540222168,-53.92914581298828,-21.360726594924927,-46.70545244216919,-135.6168098449707,-19.94187564666555,-190.1004638671875,27.0,29.0,29.0,4,4,True
bert,bert_has_a_mouth,129,I used to work for idiots like that,You had to work for me like that,I aspire to internships at sites like that,-12.322057597542882,-42.9746208190918,-42.91183853149414,-9.277801995893242,-21.599859593436122,-14.44875717163086,-9.110768180704326,-57.42339706420898,68.0,76.0,76.0,9,8,True
bert,bert_has_a_mouth,131,I got so many stone eggs left over,I found so many in things and called,Khrushchev schizophrenic so far disproportionately goldfish fished alone,-30.05155748128891,-55.76946640014648,-55.31298065185547,-25.08828294277191,-55.13984042406082,-109.89828491210938,-22.8366597674742,-165.66775512695312,20.0,32.0,32.0,3,3,True
bert,bert_has_a_mouth,132,She needs a jab in the voice box,You found a key in the circular box,Each feels a jab to their voice box,-18.643367795040827,-50.29677200317383,-49.50761032104492,-15.235811086604373,-33.879178881645196,-9.589611053466797,-12.471846696687862,-59.88637161254883,50.0,83.0,83.0,6,6,False
bert,bert_has_a_mouth,136,At least the season itself has been good,At least two term material has been found,At indistinguishable misinterpreting schizophrenic uncontrollably vulnerabilities acknowledgment disproportionately,-4.856798234075541,-53.10375213623047,-53.086097717285156,-23.27886072546244,-28.135658959537977,-272.16168212890625,-23.096013342771588,-325.26544189453125,89.0,16.0,89.0,4,4,False
bert,bert_has_a_mouth,140,Just watched the clone wars movie last week,He and the heavy version on that example,Fahrenheit misinterpreting acknowledgment disproportionately unsatisfactory indistinguishable schizophrenic hypocritical,-32.10864260792732,-63.41287612915039,-62.66112899780274,-33.28531178832054,-65.39395439624786,-289.006649017334,-9.22350189356979,-352.4195251464844,15.0,12.0,15.0,1,1,True
bert,bert_has_a_mouth,144,The real motivation quote is in the comments,The key motivation number is in the discussion,Fahrenheit chimpanzees misinterpreting unsatisfactory appears vulnerabilities schizophrenic disproportionately,-5.6615364253520974,-54.43196105957031,-54.20064163208008,-34.59318858385086,-40.254725009202964,-269.9498443603516,-22.68544995227057,-324.3818054199219,85.0,17.0,85.0,4,1,False
bert,bert_has_a_mouth,145,Also still had a beard at same time,Now Peter has a man of her life,Fahrenheit misdemeanor unsatisfactory disproportionately indistinguishable acknowledgment chimpanzees schizophrenic,-22.43196421861649,-57.340736389160156,-56.87163543701172,-33.914328277111046,-56.34629249572754,-303.6936225891113,-5.608082797569864,-361.0343933105469,34.0,6.0,34.0,2,1,True
bert,bert_has_a_mouth,147,Just hit his right arm first and win,Virginia got her right back in and in,But fractured his throwing arm disproportionately before finish,-18.378238558769226,-54.44982528686523,-54.2911262512207,-24.90956062078476,-43.28779917955399,-34.864864349365234,-24.721536773813114,-89.31468963623047,51.0,57.0,57.0,4,3,False
bert,bert_has_a_mouth,148,I need cutting board also on my way,He was their manhood out into the back,Neighbours carbohydrates schizophrenic disproportionately unsatisfactory misinterpreted acknowledgment indistinguishable,-30.435666754841805,-64.03811645507811,-63.29254913330078,-37.6617642454803,-68.0974310003221,-305.1132888793945,-9.18754739341199,-369.1513977050781,19.0,5.0,19.0,0,0,False
bert,bert_has_a_mouth,149,We will watch your career with great interest,I will read this story with a greatness,We furthermore publicize our researches with sincere devotion,-19.93983235443011,-46.78763961791992,-46.44147109985352,-11.93902209913358,-31.87885445356369,-18.382808685302734,-11.397997070103884,-65.17047119140625,45.0,71.0,71.0,7,8,False
bert,bert_has_a_mouth,153,Please note that existing rules and regulations apply,Then note that the form and curves are,Please note that local rules and regulations apply,-19.394566591829058,-49.2966194152832,-49.18310928344727,-7.691438220441341,-27.086004812270406,-1.002197265625,-6.6531633995473385,-50.29875946044922,48.0,95.0,95.0,6,9,False
bert,bert_has_a_mouth,157,No parent should have to go through that,Those people that need to live on it,No housewife should have regrets going through that,-17.593530452344567,-45.8188362121582,-44.7681999206543,-7.234263333957642,-24.82779378630221,-14.752979278564453,-6.50541193317622,-60.57180786132813,55.0,75.0,75.0,8,9,True
bert,bert_has_a_mouth,158,If anything it might be safer in July,If so you will be understand in here,Saying much else did justify Gutierrez being schizophrenic,-27.416571026667953,-52.061912536621094,-51.23129272460938,-20.85090648569167,-48.26747751235962,-61.95985412597656,-19.81593955061362,-114.02176666259766,25.0,43.0,43.0,5,4,True
bert,bert_has_a_mouth,159,There is a greater sense of communal responsibility,There is a certain sense of pure vitality,There is vastly greater sense of communal responsibility,-5.444496482901742,-42.70694351196289,-42.392539978027344,-12.649251842580268,-18.09374832548201,-11.424392700195312,-11.86951158940792,-54.1313362121582,86.0,81.0,86.0,9,7,False
bert,bert_has_a_mouth,162,Decided to actually pull the trigger this year,The numbers before and the words are merged,Hoping to furthermore pull the plug sophomore year,-47.58910185890272,-56.41152954101562,-56.28275680541992,-15.589098505210133,-63.178200364112854,-13.280601501464846,-13.053560982458293,-69.69213104248047,1.0,79.0,79.0,2,6,False
bert,bert_has_a_mouth,164,We just want honesty in order to improve,We must want advancements in order to exist,Critics therein stress independence in deciding to switch,-6.441749965015331,-55.61046600341797,-55.53467178344727,-26.734221724851523,-33.175971689866856,-20.64997100830078,-26.10585686564445,-76.26044464111328,82.0,69.0,82.0,3,2,True
bert,bert_has_a_mouth,167,It all depends on your personal comfort level,It also depends on your basic skill level,That all depends on your newfound comfort zone,-7.094644274562597,-46.42782592773438,-46.36872100830078,-5.764275889843702,-12.8589201644063,-5.4796180725097665,-4.2895097605651245,-51.907447814941406,79.0,85.0,85.0,8,9,False
bert,bert_has_a_mouth,168,Eating a candy which fell on the floor,Like a and who ran over the ground,Eating his pint which landed on dashboard floor,-24.92294159717858,-54.57290267944336,-54.55366897583008,-17.531643001362678,-42.45458459854126,-22.57826995849609,-16.544714899733666,-77.15117645263672,29.0,67.0,67.0,4,6,False
bert,bert_has_a_mouth,177,I felt it in waves with the machine,I am that in now with your people,Witnesses watched surgeons render schizophrenic into thirsty drinker,-16.26435032300651,-50.29498672485352,-50.14897155761719,-26.31195475161076,-42.576305074617274,-67.59186172485353,-23.24607573990943,-117.88682556152344,60.0,41.0,60.0,6,2,True
bert,bert_has_a_mouth,180,The sad thing is you might be right,The good thing is I might be right,The sad truth is she may be right,-5.824350024340673,-41.95250701904297,-41.824363708496094,-6.741837993031367,-12.566188017372044,-4.296195983886719,-6.517126119229943,-46.24870300292969,84.0,89.0,89.0,9,9,True
bert,bert_has_a_mouth,183,There is nothing at all interesting about this,There is nothing at all important about this,There was nothing at all familiar about schizophrenic,-0.2192514572525397,-44.72142028808594,-44.19552230834961,-10.953117308032231,-11.172368765284775,-31.54706954956055,-10.23758397772326,-76.26847839355469,94.0,59.0,94.0,8,8,False
bert,bert_has_a_mouth,190,Americans mostly want to keep it in America,We not want to be it in time,Neighbours misinterpreting schizophrenic misunderstood disproportionate unsatisfactory acknowledgment indistinguishable,-18.089691147615667,-51.723182678222656,-51.47713088989258,-24.143695592472795,-42.23338674008846,-312.6051864624024,-7.872083496032985,-364.328369140625,53.0,2.0,53.0,5,3,True
bert,bert_has_a_mouth,191,I heard a her say parks are closed,I want to liberals in the freedom over,Neighbours acknowledgment indistinguishable schizophrenic disproportionately disproportionate misinterpreting unsatisfactory,-28.207998037338253,-63.104957580566406,-62.97517395019531,-40.51680541038513,-68.72480344772339,-302.6411056518555,-13.384564197914967,-365.7460632324219,23.0,7.0,23.0,1,0,True
bert,bert_has_a_mouth,195,You could see the oil was going bad,I can see the ways are coming in,Anybody can understand saltwater fishery being badly overrated,-9.645111421123149,-48.07415008544922,-47.90440368652344,-20.405506115406748,-30.0506175365299,-44.82750701904297,-20.295732466503974,-92.9016571044922,73.0,49.0,73.0,7,4,False
bert,bert_has_a_mouth,196,We are the busiest store in our market,I put the keyed and in your place,Your are the busiest unaccompanied in our neighbourhood,-29.10750672779977,-55.75844955444336,-55.36222839355469,-28.897059524431825,-58.0045662522316,-25.659534454345703,-28.744395845103103,-81.41801452636719,21.0,62.0,62.0,3,2,True
bert,bert_has_a_mouth,200,This is another example of why he lost,This is another example of how I mean,Fahrenheit was another example of why he cheated,-5.320749652571977,-43.780216217041016,-43.60922622680664,-12.669411765411494,-17.990161417983472,-24.598674774169922,-12.271057572301517,-68.37889099121094,87.0,63.0,87.0,9,7,False
bert,bert_has_a_mouth,203,You are the one putting out misleading information,They are the best quarterback back and rookies,You were a moderator pouring forth disproportionately schizophrenic,-33.51871507393662,-56.58403396606445,-56.2706413269043,-18.91721759212669,-52.43593266606331,-67.98250198364258,-18.77375004823796,-124.56653594970705,11.0,40.0,40.0,2,5,True
bert,bert_has_a_mouth,204,Guys I just thought of a funny joke,Guys I just thought of a little boy,Neighbours misinterpreted Tyrannosaurus acknowledgment uncontrollably gastrointestinal unsatisfactory schizophrenic,-6.9777722880244255,-55.85509872436523,-55.25086212158203,-34.18879932910204,-41.16657161712647,-298.88769912719727,-9.669432529140524,-354.7427978515625,80.0,9.0,80.0,3,1,False
bert,bert_has_a_mouth,206,A cough is a symptom of damaged lungs,Each marriage has the summary of many evils,Dry mouth is rarer symptom after removing firewood,-39.675890570393456,-58.21250534057617,-57.22372436523438,-9.835178321340427,-49.51106889173389,-27.511157989501953,-8.526073377988382,-85.72366333007812,6.0,61.0,61.0,2,8,True
bert,bert_has_a_mouth,207,Just read that for the first time yesterday,I had his in the second time before,Neighbours misinterpreted reconstructing misunderstood disproportionately upper vulnerabilities schizophrenic,-14.711609296209645,-50.08776473999024,-50.060264587402344,-24.189718671434086,-38.901327967643745,-272.9219398498535,-21.024690843456487,-323.009765625,62.0,15.0,62.0,6,3,False
bert,bert_has_a_mouth,210,This message is automatically added to every post,This card is not given to one use,Emblem schizophrenic was furthermore tampered to acknowledgment indiscriminately,-16.793504927307367,-49.67940139770508,-49.49527359008789,-21.22292761132121,-38.01643253862858,-145.7664527893066,-12.541363721672552,-195.44586181640625,58.0,27.0,58.0,6,4,True
bert,bert_has_a_mouth,211,To not let emotions do the talking first,Must not let Joshua do the wrong right,Correspondent rule let disenfranchised do the talking disproportionately,-13.36950921092648,-57.6308479309082,-57.61643600463867,-22.63799223478418,-36.00750144571065,-101.0914421081543,-21.91075978542688,-158.7222900390625,66.0,34.0,66.0,2,4,False
bert,bert_has_a_mouth,213,He went back to work the next day,I went back to work the next day,Correspondent went back to work the next morning,-0.15640820958651602,-38.39142990112305,-37.69124984741211,-3.6408105094451457,-3.7972187190316617,-23.512996673583984,-3.3186779851254187,-61.90448760986328,95.0,66.0,95.0,9,9,False
bert,bert_has_a_mouth,216,Have a small bowl of water on hand,With a fine tin of irons on it,Hold their newfound potion of bloodshed at bay,-20.813636499922726,-50.43598937988281,-50.3437385559082,-13.628646042663606,-34.44228254258633,-24.353870391845703,-11.754776906978805,-74.78985595703125,40.0,64.0,64.0,5,7,False
bert,bert_has_a_mouth,219,Stories are just essays in a different form,It are in men with a simple language,Neighbours gastrointestinal chimpanzees unsatisfactory indistinguishable schizophrenic disproportionately misinterpreting,-20.09751760587096,-54.16659927368164,-53.96925354003906,-30.91281038895249,-51.01032799482346,-307.62044143676763,-18.608561804370307,-361.7870178222656,44.0,4.0,44.0,4,1,True
bert,bert_has_a_mouth,221,Play now while you are on a roll,Figures out if you are on the lead,Neighbours unsatisfactory indistinguishable misinterpreting schizophrenic on homecoming cheerleading,-19.923611719161276,-51.15076446533203,-50.772438049316406,-18.18206850811839,-38.105680227279656,-208.64586639404297,-16.425487335150365,-259.796630859375,46.0,23.0,46.0,5,5,True
bert,bert_has_a_mouth,222,The media gets to choose who they prefer,The people are to say if they did,Cake shop gets to decide whom they invite,-18.363790749222968,-49.63149642944336,-49.49106216430664,-17.643004299490713,-36.00679504871369,-12.674957275390625,-17.16415343643166,-62.30646896362305,52.0,80.0,80.0,6,5,True
bert,bert_has_a_mouth,223,Pick and choose which outlets you believe carefully,From and deal or bath to with the,Arguably gastrointestinal decide misinterpreted acknowledgment disproportionately schizophrenic unsatisfactory,-32.50472985953093,-65.72395324707031,-65.51381683349611,-37.63620246201753,-70.14093232154846,-244.0919952392578,-22.834543610617857,-309.8159484863281,13.0,20.0,20.0,0,0,False
bert,bert_has_a_mouth,230,Grade school needs to be more like college,Because only wants to feel me like that,Lower school gets to feel more like homecoming,-21.91485999710858,-52.56623840332031,-52.38464736938477,-17.918145276373252,-39.833005273481824,-4.287620544433594,-16.270000383257866,-56.853858947753906,35.0,90.0,90.0,4,5,False
bert,bert_has_a_mouth,233,Saw you say this was taken in Illinois,This record that she was named in Japan,Had callers hinting someplace was gastrointestinal hospitalization overdue,-24.101534916087985,-59.14309692382813,-59.07574844360352,-30.025147484615445,-54.12668240070343,-70.09217834472656,-27.40512486261923,-129.23527526855472,32.0,39.0,39.0,1,2,False
bert,bert_has_a_mouth,243,He does it out of legitimate self interest,She said it because of the public interest,Redding did so out of longstanding inward schizophrenic,-10.660382103495069,-49.20307159423828,-48.52308654785156,-16.51674080817611,-27.177122911671177,-47.17058563232422,-15.692193224253971,-96.37364959716795,72.0,48.0,72.0,6,6,True
bert,bert_has_a_mouth,244,I hope elections have more security than this,He said go no better or than that,We see voters walking tighter margins than expected,-21.00168637558818,-56.90083694458008,-56.85806274414063,-27.097443301230673,-48.09912967681885,-13.878963470458984,-26.6839312184602,-70.77980041503906,39.0,77.0,77.0,2,2,False
bert,bert_has_a_mouth,248,Your post has been removed for improper tagging,Kong it has been adopted as some industry,Neighbours schizophrenic acknowledgment been removed through improper tagging,-35.79125517280954,-65.11269378662111,-64.91796875,-20.71228550700289,-56.50354067981243,-112.0456314086914,-20.463513473550847,-177.1583251953125,8.0,31.0,31.0,0,4,True
bert,bert_has_a_mouth,251,Push both simultaneously to take a screen shot,Look at if to count the after expenditures,Picture both simultaneously to achieve a memorable schizophrenic,-21.664136294304623,-61.54294204711914,-61.06325912475586,-29.55179015916656,-51.215926453471184,-31.23493957519531,-29.458838730699426,-92.77788543701172,37.0,60.0,60.0,1,2,False
bert,bert_has_a_mouth,254,She posts her whole life on social media,She works her entire life on social media,Fans gather a personalized playlist via social networks,-1.4991901931352911,-44.79254913330078,-44.399757385253906,-11.11426083277911,-12.613451025914399,-18.619312286376953,-10.668370921630412,-63.41186141967773,92.0,70.0,92.0,8,8,False
bert,bert_has_a_mouth,260,The streets around my apartment are pretty empty,The streets around my place are pretty empty,The streets below my townhouse are pretty badass,-1.3542517544701695,-45.30734634399414,-45.25568771362305,-10.4543622629717,-11.808614017441867,-18.34551239013672,-8.191003105603157,-63.65285873413086,93.0,72.0,93.0,8,8,False
bert,bert_has_a_mouth,262,I never got paid anything to refer employees,I never was into anything in my reactor,He furthermore knowingly ascribed disproportionately reincarnation acknowledgment unsatisfactory,-19.07005128636956,-59.19449234008789,-58.859596252441406,-28.036033403128386,-47.106084689497955,-142.0521507263184,-18.128180963279306,-201.24664306640625,49.0,28.0,49.0,1,2,False
bert,bert_has_a_mouth,263,Get into a land war in Southeast Asia,Turns into a real deal in Southeast Asia,Goes into a missile war with Southeast Asia,-4.991242827847599,-50.64502334594727,-50.49871444702149,-12.162108348682525,-17.153351176530126,-3.225597381591797,-12.028282986953855,-53.87062072753906,88.0,93.0,93.0,5,8,False
bert,bert_has_a_mouth,265,I rushed thru the first season without watching,I had the the weakest goaltender in success,Fans dragged thru another homecoming show disproportionately schizophrenic,-30.78291942535725,-63.54190444946289,-63.29039001464844,-31.1368104757712,-61.919729901128456,-89.70890045166016,-22.242738944870208,-153.2508087158203,18.0,36.0,36.0,0,1,False
bert,bert_has_a_mouth,266,Plenty of new people playing all the time,The hard of words in all the time,Plenty schizophrenic indie labels signing all the time,-34.46397587205865,-54.02276229858398,-53.41640853881836,-14.981623475294327,-49.445599347352974,-39.36494064331055,-14.334616323480985,-93.38770294189452,10.0,54.0,54.0,4,6,True
bert,bert_has_a_mouth,270,Can be passed around just like the flu,You being bold and just with your people,Might be sprayed across towns like influenza gasses,-26.831555046141148,-54.61086654663086,-54.13858032226562,-20.193240962922573,-47.02479600906372,-23.70596694946289,-16.915379226207733,-78.31683349609375,26.0,65.0,65.0,4,5,False
bert,bert_has_a_mouth,273,Nobody would know what to make of it,We would know what to make of it,Correspondent would know what to make of telegram,-3.4822949433582835,-43.14027404785156,-42.72448348999024,-7.644285443297122,-11.126580386655405,-42.23596954345703,-7.64338553619416,-85.3762435913086,90.0,53.0,90.0,9,9,True
bert,bert_has_a_mouth,274,You can put that in my mouth anytime,I can put it in my studio book,Anybody dares put words to your regrets online,-9.212605848908424,-45.61991500854492,-45.50411605834961,-15.338002756237984,-24.550608605146408,-17.353702545166016,-13.834915651241314,-62.97361755371094,74.0,73.0,74.0,8,6,True
